target,model,n_run,n_site,reach,n_total,n_hit,sat_site,sat_reach
8t4a_PR,protenix,2,1.637,1.0,8,8,8,1
8t4a_PR,protenix,3,2.103,1.0,8,8,8,1
8t4a_PR,protenix,4,2.505,1.0,8,8,8,1
8t4a_PR,protenix,5,2.853,1.0,8,8,8,1
8t4a_PR,protenix,6,3.29,1.0,8,8,8,1
8t4a_PR,protenix,7,3.595,1.0,8,8,8,1
8t4a_PR,protenix,8,4,1.0,8,8,8,1
8t4d_OQ,protenix,1,1,1.0,8,8,7,1
8t4d_OQ,protenix,2,1.288,1.0,8,8,7,1
8t4d_OQ,protenix,3,1.41,1.0,8,8,7,1
8t4d_OQ,protenix,4,1.49,1.0,8,8,7,1
8t4d_OQ,protenix,5,1.64,1.0,8,8,7,1
8t4d_OQ,protenix,6,1.748,1.0,8,8,7,1
8t4d_OQ,protenix,7,1.907,1.0,8,8,7,1
8t4d_OQ,protenix,8,2,1.0,8,8,7,1
8tp5_HL,protenix,1,1,0.0,20,0,1,
8tp5_HL,protenix,2,1.04,0.0,20,0,1,
8tp5_HL,protenix,3,1.025,0.0,20,0,1,
8tp5_HL,protenix,4,1.015,0.0,20,0,1,
8tp5_HL,protenix,5,1.005,0.0,20,0,1,
8tp5_HL,protenix,6,1,0.0,20,0,1,
8tp5_HL,protenix,7,1,0.0,20,0,1,
8tp5_HL,protenix,8,1,0.0,20,0,1,
8tp5_HL,protenix,9,1,0.0,20,0,1,
8tp5_HL,protenix,10,1,0.0,20,0,1,
8tp5_HL,protenix,11,1,0.0,20,0,1,
8tp5_HL,protenix,12,1,0.0,20,0,1,
8tp5_HL,protenix,13,1,0.0,20,0,1,
8tp5_HL,protenix,14,1,0.0,20,0,1,
8tp5_HL,protenix,15,1,0.0,20,0,1,
8tp5_HL,protenix,16,1,0.0,20,0,1,
8tp5_HL,protenix,17,1,0.0,20,0,1,
8tp5_HL,protenix,18,1,0.0,20,0,1,
8tp5_HL,protenix,19,1,0.0,20,0,1,
8tp5_HL,protenix,20,1,0.0,20,0,1,
8u44_ST,protenix,1,1,0.36,8,3,5,5
8u44_ST,protenix,2,1.45,0.64,8,3,5,5
8u44_ST,protenix,3,1.692,0.835,8,3,5,5
8u44_ST,protenix,4,1.81,0.93,8,3,5,5
8u44_ST,protenix,5,1.915,0.985,8,3,5,5
8u44_ST,protenix,6,1.958,1.0,8,3,5,5
8u44_ST,protenix,7,1.968,1.0,8,3,5,5
8u44_ST,protenix,8,2,1.0,8,3,5,5
8ulr_HL,protenix,1,1,1.0,30,30,28,1
8ulr_HL,protenix,2,1.235,1.0,30,30,28,1
8ulr_HL,protenix,3,1.245,1.0,30,30,28,1
8ulr_HL,protenix,4,1.235,1.0,30,30,28,1
8ulr_HL,protenix,5,1.27,1.0,30,30,28,1
8ulr_HL,protenix,6,1.258,1.0,30,30,28,1
8ulr_HL,protenix,7,1.22,1.0,30,30,28,1
8ulr_HL,protenix,8,1.285,1.0,30,30,28,1
8ulr_HL,protenix,9,1.315,1.0,30,30,28,1
8ulr_HL,protenix,10,1.333,1.0,30,30,28,1
8ulr_HL,protenix,11,1.403,1.0,30,30,28,1
8ulr_HL,protenix,12,1.373,1.0,30,30,28,1
8ulr_HL,protenix,13,1.367,1.0,30,30,28,1
8ulr_HL,protenix,14,1.492,1.0,30,30,28,1
8ulr_HL,protenix,15,1.5,1.0,30,30,28,1
8ulr_HL,protenix,16,1.535,1.0,30,30,28,1
8ulr_HL,protenix,17,1.593,1.0,30,30,28,1
8ulr_HL,protenix,18,1.548,1.0,30,30,28,1
8ulr_HL,protenix,19,1.623,1.0,30,30,28,1
8ulr_HL,protenix,20,1.645,1.0,30,30,28,1
8ulr_HL,protenix,21,1.69,1.0,30,30,28,1
8ulr_HL,protenix,22,1.762,1.0,30,30,28,1
8ulr_HL,protenix,23,1.765,1.0,30,30,28,1
8ulr_HL,protenix,24,1.805,1.0,30,30,28,1
8ulr_HL,protenix,25,1.847,1.0,30,30,28,1
8ulr_HL,protenix,26,1.857,1.0,30,30,28,1
8ulr_HL,protenix,27,1.897,1.0,30,30,28,1
8ulr_HL,protenix,28,1.925,1.0,30,30,28,1
8ulr_HL,protenix,29,1.968,1.0,30,30,28,1
8ulr_HL,protenix,30,2,1.0,30,30,28,1
8ume_HL,protenix,1,1,0.122,8,1,8,8
8ume_HL,protenix,2,1.975,0.24,8,1,8,8
8ume_HL,protenix,3,2.9,0.367,8,1,8,8
8ume_HL,protenix,4,3.808,0.51,8,1,8,8
8ume_HL,protenix,5,4.643,0.588,8,1,8,8
8ume_HL,protenix,6,5.45,0.72,8,1,8,8
8ume_HL,protenix,7,6.232,0.873,8,1,8,8
8ume_HL,protenix,8,7,1.0,8,1,8,8
8xsi_HL,protenix,1,1,0.0,8,0,1,
8xsi_HL,protenix,2,1,0.0,8,0,1,
8xsi_HL,protenix,3,1,0.0,8,0,1,
8xsi_HL,protenix,4,1,0.0,8,0,1,
8xsi_HL,protenix,5,1,0.0,8,0,1,
8xsi_HL,protenix,6,1,0.0,8,0,1,
8xsi_HL,protenix,7,1,0.0,8,0,1,
8xsi_HL,protenix,8,1,0.0,8,0,1,
9azt_HL,protenix,1,1,0.0,8,0,1,
9azt_HL,protenix,2,1.173,0.0,8,0,1,
9azt_HL,protenix,3,1.145,0.0,8,0,1,
9azt_HL,protenix,4,1.042,0.0,8,0,1,
9azt_HL,protenix,5,1.025,0.0,8,0,1,
9azt_HL,protenix,6,1,0.0,8,0,1,
9azt_HL,protenix,7,1,0.0,8,0,1,
9azt_HL,protenix,8,1,0.0,8,0,1,
9azv_HL,protenix,1,1,0.767,8,6,8,2
9azv_HL,protenix,2,1.843,0.963,8,6,8,2
9azv_HL,protenix,3,2.585,1.0,8,6,8,2
9azv_HL,protenix,4,3.228,1.0,8,6,8,2
9azv_HL,protenix,5,3.75,1.0,8,6,8,2
9azv_HL,protenix,6,4.247,1.0,8,6,8,2
9azv_HL,protenix,7,4.615,1.0,8,6,8,2
9azv_HL,protenix,8,5,1.0,8,6,8,2
9b7g_QP,protenix,1,1,1.0,8,8,1,1
9b7g_QP,protenix,2,1,1.0,8,8,1,1
9b7g_QP,protenix,3,1,1.0,8,8,1,1
9b7g_QP,protenix,4,1,1.0,8,8,1,1
9b7g_QP,protenix,5,1,1.0,8,8,1,1
9b7g_QP,protenix,6,1,1.0,8,8,1,1
9b7g_QP,protenix,7,1,1.0,8,8,1,1
9b7g_QP,protenix,8,1,1.0,8,8,1,1
9bdg_FI,protenix,1,1,0.403,8,3,1,5
9bdg_FI,protenix,2,1.387,0.625,8,3,1,5
9bdg_FI,protenix,3,1.538,0.828,8,3,1,5
9bdg_FI,protenix,4,1.573,0.932,8,3,1,5
9bdg_FI,protenix,5,1.548,0.983,8,3,1,5
9bdg_FI,protenix,6,1.43,1.0,8,3,1,5
9bdg_FI,protenix,7,1.285,1.0,8,3,1,5
9bdg_FI,protenix,8,1,1.0,8,3,1,5
9kkj_HL,protenix,1,1,0.87,8,7,1,2
9kkj_HL,protenix,2,1.18,1.0,8,7,1,2
9kkj_HL,protenix,3,1.195,1.0,8,7,1,2
9kkj_HL,protenix,4,1.155,1.0,8,7,1,2
9kkj_HL,protenix,5,1.093,1.0,8,7,1,2
9kkj_HL,protenix,6,1.045,1.0,8,7,1,2
9kkj_HL,protenix,7,1,1.0,8,7,1,2
9kkj_HL,protenix,8,1,1.0,8,7,1,2
9ml9_HL,protenix,1,1,0.24,8,2,1,6
9ml9_HL,protenix,2,1.133,0.458,8,2,1,6
9ml9_HL,protenix,3,1.095,0.632,8,2,1,6
9ml9_HL,protenix,4,1.042,0.81,8,2,1,6
9ml9_HL,protenix,5,1.025,0.91,8,2,1,6
9ml9_HL,protenix,6,1,0.98,8,2,1,6
9ml9_HL,protenix,7,1,1.0,8,2,1,6
9ml9_HL,protenix,8,1,1.0,8,2,1,6
9mqr_DE,protenix,1,1,0.0,8,0,8,
9mqr_DE,protenix,2,1.502,0.0,8,0,8,
9mqr_DE,protenix,3,1.702,0.0,8,0,8,
9mqr_DE,protenix,4,1.76,0.0,8,0,8,
9mqr_DE,protenix,5,1.755,0.0,8,0,8,
9mqr_DE,protenix,6,1.83,0.0,8,0,8,
9mqr_DE,protenix,7,1.843,0.0,8,0,8,
9mqr_DE,protenix,8,2,0.0,8,0,8,
9w43_AB,protenix,1,1,0.0,8,0,1,
9w43_AB,protenix,2,1,0.0,8,0,1,
9w43_AB,protenix,3,1,0.0,8,0,1,
9w43_AB,protenix,4,1,0.0,8,0,1,
9w43_AB,protenix,5,1,0.0,8,0,1,
9w43_AB,protenix,6,1,0.0,8,0,1,
9w43_AB,protenix,7,1,0.0,8,0,1,
9w43_AB,protenix,8,1,0.0,8,0,1,
9y0a_AB,protenix,1,1,0.0,8,0,8,
9y0a_AB,protenix,2,1.333,0.0,8,0,8,
9y0a_AB,protenix,3,1.448,0.0,8,0,8,
9y0a_AB,protenix,4,1.562,0.0,8,0,8,
9y0a_AB,protenix,5,1.63,0.0,8,0,8,
9y0a_AB,protenix,6,1.752,0.0,8,0,8,
9y0a_AB,protenix,7,1.865,0.0,8,0,8,
9y0a_AB,protenix,8,2,0.0,8,0,8,
9yc6_HL,protenix,1,1,1.0,8,8,1,1
9yc6_HL,protenix,2,1.02,1.0,8,8,1,1
9yc6_HL,protenix,3,1,1.0,8,8,1,1
9yc6_HL,protenix,4,1,1.0,8,8,1,1
9yc6_HL,protenix,5,1,1.0,8,8,1,1
9yc6_HL,protenix,6,1,1.0,8,8,1,1
9yc6_HL,protenix,7,1,1.0,8,8,1,1
9yc6_HL,protenix,8,1,1.0,8,8,1,1
9zdu_HL,protenix,1,1,1.0,8,8,7,1
9zdu_HL,protenix,2,1.24,1.0,8,8,7,1
9zdu_HL,protenix,3,1.387,1.0,8,8,7,1
9zdu_HL,protenix,4,1.49,1.0,8,8,7,1
9zdu_HL,protenix,5,1.64,1.0,8,8,7,1
9zdu_HL,protenix,6,1.748,1.0,8,8,7,1
9zdu_HL,protenix,7,1.907,1.0,8,8,7,1
9zdu_HL,protenix,8,2,1.0,8,8,7,1
