target,model,family,ab,label,rung,neff80,n_pose,n_pop,native_overrep,mean_overrep,oracle_overrep,mean_recall,oracle_recall,mean_true_rank,oracle_true_rank,mean_pop_rank,oracle_pop_rank,mean_dcc_true,oracle_dcc_true,mean_dcc_pop,oracle_dcc_pop
9azr_HL,protenix,HA,A,head,6,14.167,5,207,0.958,0.961,0.977,0.029,0.047,0.38,0.494,0.495,0.497,19.939,15.245,11.032,10.538
9azr_HL,protenix,HA,A,head,7,9.0,5,207,0.958,0.974,0.957,0.008,0.021,0.211,0.229,0.503,0.501,21.911,20.227,9.703,9.022
9azr_HL,protenix,HA,A,head,8,6.0,5,207,0.958,0.966,0.962,0.055,0.192,0.392,0.517,0.498,0.499,17.247,16.406,10.627,12.896
9azr_HL,protenix,HA,A,head,9,3.0,5,207,0.958,0.985,0.982,0.037,0.071,0.285,0.326,0.502,0.503,18.914,16.054,7.542,4.841
9azr_HL,protenix,HA,A,head,10,2.0,5,207,0.958,0.971,1.0,0.086,0.2,0.39,0.669,0.501,0.504,19.769,10.396,11.655,16.153
9azr_HL,protenix,HA,A,head,11,1.0,5,207,0.958,0.967,1.0,0.098,0.169,0.446,0.607,0.502,0.51,10.577,8.307,7.906,10.304
8txu_HL,protenix,HA,B,stem,0,52.955,5,251,0.0,0.351,0.0,0.055,0.152,0.575,0.848,0.384,0.261,42.939,15.072,34.739,60.888
8txu_HL,protenix,HA,B,stem,1,38.101,5,251,0.0,0.548,0.559,0.0,0.0,0.37,0.372,0.475,0.465,58.734,63.589,17.371,16.737
8txu_HL,protenix,HA,B,stem,2,28.121,5,251,0.0,0.731,0.0,0.073,0.364,0.447,0.932,0.537,0.273,50.786,8.527,32.816,81.287
8txu_HL,protenix,HA,B,stem,3,20.959,5,251,0.0,0.591,0.644,0.0,0.0,0.382,0.412,0.472,0.472,60.984,63.161,15.905,11.889
8txu_HL,protenix,HA,B,stem,4,15.707,5,251,0.0,0.638,0.614,0.0,0.0,0.363,0.369,0.483,0.49,66.622,63.012,11.8,13.404
8txu_HL,protenix,HA,B,stem,5,11.471,5,251,0.0,1.0,1.0,0.0,0.0,0.158,0.178,0.722,0.73,73.279,69.81,12.214,11.492
8txu_HL,protenix,HA,B,stem,6,9.167,5,251,0.0,0.704,0.622,0.037,0.081,0.603,0.69,0.463,0.411,19.986,17.809,30.552,36.055
8txu_HL,protenix,HA,B,stem,7,8.0,5,251,0.0,0.783,0.594,0.025,0.125,0.425,0.678,0.638,0.585,37.973,23.053,18.867,20.856
8txu_HL,protenix,HA,B,stem,8,5.0,5,251,0.0,0.714,0.458,0.063,0.136,0.528,0.809,0.564,0.401,25.955,19.191,16.41,24.314
8txu_HL,protenix,HA,B,stem,9,2.0,5,251,0.0,0.785,0.621,0.02,0.034,0.3,0.48,0.665,0.574,43.488,27.682,15.513,20.077
8txu_HL,protenix,HA,B,stem,10,2.0,5,251,0.0,0.719,0.661,0.006,0.032,0.409,0.65,0.564,0.531,26.757,16.103,15.256,15.069
8txu_HL,protenix,HA,B,stem,11,1.0,5,251,0.0,0.45,0.429,0.055,0.082,0.47,0.664,0.46,0.433,21.989,11.755,19.569,20.53
8t4b_OQ,protenix,Env,A,N332,0,2935.914,5,72,0.286,0.087,0.129,0.114,0.151,0.856,0.901,0.371,0.4,35.31,33.555,24.423,22.928
8t4b_OQ,protenix,Env,A,N332,1,1433.539,5,72,0.286,0.094,0.177,0.082,0.152,0.611,0.887,0.43,0.463,38.902,34.091,27.356,24.369
8t4b_OQ,protenix,Env,A,N332,2,674.603,5,72,0.286,0.075,0.143,0.072,0.143,0.648,0.889,0.393,0.481,36.092,33.505,26.002,22.985
8t4b_OQ,protenix,Env,A,N332,3,319.087,5,72,0.286,0.162,0.151,0.059,0.101,0.759,0.808,0.507,0.489,29.739,24.157,20.009,17.2
8t4b_OQ,protenix,Env,A,N332,4,153.583,5,72,0.286,0.109,0.157,0.108,0.145,0.744,0.881,0.425,0.379,32.131,21.592,23.894,14.824
8t4b_OQ,protenix,Env,A,N332,5,81.0,5,72,0.286,0.086,0.076,0.157,0.197,0.898,0.918,0.366,0.309,35.167,37.145,25.103,27.98
8t4b_OQ,protenix,Env,A,N332,6,31.0,5,72,0.286,0.081,0.072,0.114,0.133,0.867,0.893,0.357,0.364,28.406,28.081,21.643,21.775
8t4b_OQ,protenix,Env,A,N332,7,14.0,5,72,0.286,0.116,0.134,0.043,0.11,0.637,0.873,0.442,0.412,25.51,31.507,19.46,19.128
8t4b_OQ,protenix,Env,A,N332,8,4.0,5,72,0.286,0.183,0.167,0.049,0.119,0.57,0.695,0.476,0.52,20.483,18.734,23.886,28.865
8t4b_OQ,protenix,Env,A,N332,9,3.0,5,72,0.286,0.194,0.299,0.055,0.104,0.62,0.831,0.535,0.577,20.765,20.203,10.275,7.693
8t4b_OQ,protenix,Env,A,N332,10,1.0,5,72,0.286,0.197,0.305,0.035,0.057,0.478,0.5,0.547,0.66,11.695,8.24,9.162,4.115
8t4b_OQ,protenix,Env,A,N332,11,1.0,5,72,0.286,0.204,0.244,0.071,0.1,0.604,0.633,0.584,0.646,12.563,15.105,9.396,7.644
8tkc_GH,protenix,Env,B,FP,0,209.114,5,0,0.0,0.0,0.0,0.099,0.203,0.526,0.725,,,8.582,3.552,,
8tkc_GH,protenix,Env,B,FP,1,145.773,5,0,0.0,0.0,0.0,0.065,0.155,0.405,0.64,,,11.331,7.406,,
8tkc_GH,protenix,Env,B,FP,2,101.098,5,0,0.0,0.0,0.0,0.147,0.237,0.598,0.747,,,10.572,7.879,,
8tkc_GH,protenix,Env,B,FP,3,67.901,5,0,0.0,0.0,0.0,0.156,0.19,0.67,0.725,,,16.112,20.935,,
8tkc_GH,protenix,Env,B,FP,4,43.801,5,0,0.0,0.0,0.0,0.08,0.145,0.409,0.524,,,14.229,10.827,,
8tkc_GH,protenix,Env,B,FP,5,33.118,5,0,0.0,0.0,0.0,0.11,0.175,0.506,0.689,,,17.254,17.816,,
8tkc_GH,protenix,Env,B,FP,6,20.151,5,0,0.0,0.0,0.0,0.117,0.21,0.477,0.683,,,15.628,15.93,,
8tkc_GH,protenix,Env,B,FP,7,8.149,5,0,0.0,0.0,0.0,0.092,0.172,0.458,0.672,,,19.959,10.577,,
8tkc_GH,protenix,Env,B,FP,8,4.077,5,0,0.0,0.0,0.0,0.015,0.073,0.288,0.294,,,18.025,13.742,,
8tkc_GH,protenix,Env,B,FP,9,4.0,5,0,0.0,0.0,0.0,0.064,0.123,0.325,0.505,,,33.946,25.864,,
8tkc_GH,protenix,Env,B,FP,10,2.0,5,0,0.0,0.0,0.0,0.08,0.2,0.376,0.671,,,40.842,12.434,,
8tkc_GH,protenix,Env,B,FP,11,1.0,5,0,0.0,0.0,0.0,0.129,0.19,0.576,0.682,,,19.174,20.547,,
9xf9_HL,protenix,C,C,Kasokero-endo,0,49.8,5,0,,,,0.003,0.014,0.209,0.253,,,26.367,26.91,,
9xf9_HL,protenix,C,C,Kasokero-endo,1,37.333,5,0,,,,0.008,0.041,0.389,0.522,,,26.073,23.767,,
9xf9_HL,protenix,C,C,Kasokero-endo,2,26.45,5,0,,,,0.029,0.135,0.353,0.751,,,20.227,13.926,,
9xf9_HL,protenix,C,C,Kasokero-endo,3,20.167,5,0,,,,0.009,0.047,0.231,0.491,,,25.093,21.853,,
9xf9_HL,protenix,C,C,Kasokero-endo,4,15.0,5,0,,,,0.019,0.064,0.33,0.578,,,25.693,21.764,,
9xf9_HL,protenix,C,C,Kasokero-endo,5,10.0,5,0,,,,0.058,0.139,0.517,0.674,,,21.99,22.537,,
9xf9_HL,protenix,C,C,Kasokero-endo,6,8.0,5,0,,,,0.012,0.03,0.212,0.324,,,32.903,26.251,,
9xf9_HL,protenix,C,C,Kasokero-endo,7,6.0,5,0,,,,0.043,0.079,0.421,0.546,,,24.429,22.158,,
9xf9_HL,protenix,C,C,Kasokero-endo,8,3.0,5,0,,,,0.09,0.156,0.58,0.74,,,20.672,15.602,,
9xf9_HL,protenix,C,C,Kasokero-endo,9,2.0,5,0,,,,0.086,0.095,0.596,0.642,,,18.953,15.983,,
9xf9_HL,protenix,C,C,Kasokero-endo,10,1.0,5,0,,,,0.066,0.148,0.54,0.751,,,15.979,13.222,,
9xf9_HL,protenix,C,C,Kasokero-endo,11,1.0,5,0,,,,0.071,0.135,0.513,0.712,,,18.57,17.471,,
8q7s_C,protenix,RBD,A,class1/2(RBM),0,35.184,5,73,0.96,0.911,0.957,0.726,0.87,0.906,0.92,0.759,0.761,3.119,1.453,4.573,5.186
8q7s_C,protenix,RBD,A,class1/2(RBM),1,27.594,5,73,0.96,0.683,0.933,0.489,0.667,0.759,0.894,0.658,0.77,8.712,2.608,8.263,4.325
8q7s_C,protenix,RBD,A,class1/2(RBM),2,21.833,5,73,0.96,0.877,0.935,0.647,0.677,0.877,0.903,0.756,0.77,3.654,2.21,4.543,4.141
8q7s_C,protenix,RBD,A,class1/2(RBM),3,14.707,5,73,0.96,0.917,0.923,0.693,0.769,0.903,0.915,0.756,0.747,3.115,1.102,4.387,4.091
8q7s_C,protenix,RBD,A,class1/2(RBM),4,14.0,5,73,0.96,0.947,0.96,0.641,0.72,0.897,0.907,0.767,0.759,2.62,2.252,4.629,6.362
8q7s_C,protenix,RBD,A,class1/2(RBM),5,8.0,5,73,0.96,0.741,1.0,0.308,0.5,0.692,0.859,0.659,0.76,9.624,4.545,8.316,6.653
8q7s_C,protenix,RBD,A,class1/2(RBM),6,7.0,5,73,0.96,0.429,0.529,0.093,0.118,0.45,0.539,0.477,0.54,17.102,14.51,15.566,13.423
8q7s_C,protenix,RBD,A,class1/2(RBM),7,4.0,5,73,0.96,0.286,0.429,0.084,0.143,0.399,0.47,0.412,0.49,21.648,15.874,19.912,14.188
8q7s_C,protenix,RBD,A,class1/2(RBM),8,4.0,5,73,0.96,0.384,0.914,0.19,0.4,0.622,0.766,0.507,0.764,9.04,6.893,11.086,4.454
8q7s_C,protenix,RBD,A,class1/2(RBM),9,2.0,5,73,0.96,0.379,0.679,0.166,0.321,0.537,0.559,0.467,0.532,10.88,11.325,10.902,11.444
8q7s_C,protenix,RBD,A,class1/2(RBM),10,1.0,5,73,0.96,0.066,0.086,0.06,0.086,0.339,0.333,0.322,0.34,19.715,20.534,18.439,19.82
8q7s_C,protenix,RBD,A,class1/2(RBM),11,1.0,5,73,0.96,0.054,0.098,0.046,0.122,0.293,0.334,0.315,0.322,19.574,19.249,18.104,18.876
8q7s_H,protenix,RBD,B,class4,0,35.589,5,73,0.231,0.299,0.0,0.29,0.469,0.644,0.753,0.44,0.233,16.726,13.532,19.195,29.459
8q7s_H,protenix,RBD,B,class4,1,27.022,5,73,0.231,0.011,0.0,0.474,0.517,0.777,0.784,0.258,0.257,12.438,12.127,28.407,28.327
8q7s_H,protenix,RBD,B,class4,2,22.35,5,73,0.231,0.022,0.0,0.395,0.412,0.764,0.761,0.26,0.255,13.448,13.97,28.834,29.669
8q7s_H,protenix,RBD,B,class4,3,14.733,5,73,0.231,0.0,0.0,0.015,0.077,0.534,0.54,0.22,0.215,20.452,19.163,32.568,31.768
8q7s_H,protenix,RBD,B,class4,4,14.0,5,73,0.231,0.204,0.0,0.358,0.484,0.716,0.753,0.352,0.238,15.045,12.187,24.257,28.929
8q7s_H,protenix,RBD,B,class4,5,9.0,5,73,0.231,0.0,0.0,0.387,0.417,0.757,0.768,0.243,0.238,14.156,13.313,29.512,29.349
8q7s_H,protenix,RBD,B,class4,6,7.0,5,73,0.231,0.0,0.0,0.0,0.0,0.528,0.526,0.235,0.233,22.673,22.706,35.071,35.319
8q7s_H,protenix,RBD,B,class4,7,4.0,5,73,0.231,0.0,0.0,0.0,0.0,0.538,0.555,0.241,0.246,22.204,21.599,32.967,32.25
8q7s_H,protenix,RBD,B,class4,8,4.0,5,73,0.231,0.256,0.306,0.132,0.278,0.448,0.495,0.437,0.469,17.497,15.402,17.558,14.495
8q7s_H,protenix,RBD,B,class4,9,2.0,5,73,0.231,0.079,0.106,0.015,0.043,0.347,0.361,0.325,0.334,14.821,13.709,13.325,12.904
8q7s_H,protenix,RBD,B,class4,10,1.0,5,73,0.231,0.319,0.2,0.099,0.15,0.551,0.495,0.431,0.41,10.107,11.259,14.03,14.31
8q7s_H,protenix,RBD,B,class4,11,1.0,5,73,0.231,0.203,0.286,0.097,0.184,0.553,0.633,0.374,0.392,10.853,7.226,15.452,14.779
9azv_HL,protenix,HA,A,head,0,119.616,5,207,1.0,0.969,0.981,0.146,0.434,0.447,0.883,0.501,0.507,15.739,6.832,8.356,11.156
9azv_HL,protenix,HA,A,head,1,88.834,5,207,1.0,0.944,0.925,0.014,0.05,0.222,0.348,0.497,0.493,23.189,21.889,10.673,11.224
9azv_HL,protenix,HA,A,head,2,68.907,5,207,1.0,0.97,0.971,0.242,0.647,0.554,0.926,0.498,0.503,15.385,3.851,10.169,14.715
9azv_HL,protenix,HA,A,head,3,45.001,5,207,1.0,0.953,0.978,0.004,0.022,0.175,0.322,0.497,0.495,24.798,19.801,10.357,8.842
9azv_HL,protenix,HA,A,head,4,29.735,5,207,1.0,0.965,0.982,0.051,0.107,0.378,0.534,0.498,0.502,17.47,12.036,8.982,9.561
9azv_HL,protenix,HA,A,head,5,21.936,5,207,1.0,0.976,0.984,0.177,0.359,0.581,0.869,0.5,0.501,14.14,6.145,8.287,10.54
9azv_HL,protenix,HA,A,head,6,14.0,5,207,1.0,0.934,0.911,0.057,0.286,0.318,0.801,0.496,0.492,25.98,17.596,11.845,7.086
9azv_HL,protenix,HA,A,head,7,9.333,5,207,1.0,0.961,0.979,0.077,0.319,0.351,0.81,0.498,0.501,20.316,10.22,9.576,10.662
9azv_HL,protenix,HA,A,head,8,5.0,5,207,1.0,0.959,0.976,0.095,0.183,0.418,0.663,0.499,0.503,16.097,9.324,6.192,6.522
9azv_HL,protenix,HA,A,head,9,3.0,5,207,1.0,0.976,0.985,0.114,0.224,0.489,0.708,0.5,0.506,14.948,6.495,8.153,8.589
9azv_HL,protenix,HA,A,head,10,2.0,5,207,1.0,0.957,0.973,0.103,0.135,0.436,0.531,0.498,0.5,13.553,10.338,7.954,4.114
9azv_HL,protenix,HA,A,head,11,1.0,5,207,1.0,0.979,0.966,0.133,0.218,0.553,0.738,0.502,0.504,7.528,6.414,5.967,6.267
8u44_ST,protenix,HA,B,stem,0,63.164,5,246,0.194,0.09,0.171,0.415,0.629,0.895,0.937,0.309,0.335,11.795,4.391,62.106,51.489
8u44_ST,protenix,HA,B,stem,1,42.043,5,246,0.194,0.037,0.032,0.411,0.677,0.902,0.947,0.298,0.302,11.004,7.676,63.785,62.284
8u44_ST,protenix,HA,B,stem,2,34.284,5,246,0.194,0.844,0.222,0.17,0.852,0.414,0.955,0.651,0.319,60.227,3.259,26.213,52.426
8u44_ST,protenix,HA,B,stem,3,24.977,5,246,0.194,0.881,0.405,0.114,0.568,0.408,0.926,0.657,0.34,60.71,10.548,24.992,47.023
8u44_ST,protenix,HA,B,stem,4,16.673,5,246,0.194,1.0,1.0,0.0,0.0,0.275,0.276,0.737,0.738,72.51,73.214,18.353,19.2
8u44_ST,protenix,HA,B,stem,5,10.076,5,246,0.194,0.456,0.227,0.215,0.455,0.657,0.932,0.479,0.332,35.342,5.826,44.129,49.906
8u44_ST,protenix,HA,B,stem,6,10.333,5,246,0.194,0.911,0.936,0.004,0.021,0.275,0.327,0.727,0.727,49.64,53.693,8.875,10.008
8u44_ST,protenix,HA,B,stem,7,8.333,5,246,0.194,1.0,1.0,0.0,0.0,0.297,0.385,0.74,0.735,69.489,56.721,19.804,17.936
8u44_ST,protenix,HA,B,stem,8,5.0,5,246,0.194,0.347,0.345,0.101,0.145,0.613,0.653,0.467,0.453,16.114,11.139,24.335,27.625
8u44_ST,protenix,HA,B,stem,9,3.0,5,246,0.194,0.877,0.972,0.034,0.111,0.43,0.392,0.644,0.675,25.507,36.331,20.282,16.987
8u44_ST,protenix,HA,B,stem,10,2.0,5,246,0.194,0.495,0.109,0.059,0.109,0.568,0.708,0.46,0.355,16.452,11.128,22.287,29.299
8u44_ST,protenix,HA,B,stem,11,1.0,5,246,0.194,0.439,0.41,0.066,0.096,0.485,0.563,0.465,0.456,17.698,13.376,18.576,21.413
9bnp_HL,protenix,Env,A,V2apex,0,2582.986,5,76,0.692,0.0,0.0,0.007,0.037,0.291,0.641,0.341,0.387,52.702,38.283,35.749,26.583
9bnp_HL,protenix,Env,A,V2apex,1,1252.756,5,76,0.692,0.066,0.141,0.003,0.016,0.152,0.337,0.403,0.533,47.004,32.136,23.851,8.668
9bnp_HL,protenix,Env,A,V2apex,2,614.293,5,76,0.692,0.0,0.0,0.0,0.0,0.197,0.191,0.338,0.347,61.412,62.605,42.503,43.687
9bnp_HL,protenix,Env,A,V2apex,3,288.364,5,76,0.692,0.097,0.0,0.0,0.0,0.244,0.251,0.434,0.342,46.708,59.85,27.258,43.111
9bnp_HL,protenix,Env,A,V2apex,4,143.434,5,76,0.692,0.041,0.0,0.0,0.0,0.318,0.262,0.367,0.34,49.205,55.673,32.902,37.819
9bnp_HL,protenix,Env,A,V2apex,5,64.333,5,76,0.692,0.269,0.424,0.003,0.017,0.222,0.384,0.588,0.74,34.344,29.964,11.767,7.778
9bnp_HL,protenix,Env,A,V2apex,6,29.333,5,76,0.692,0.0,0.0,0.0,0.0,0.235,0.26,0.325,0.328,53.961,49.578,35.667,32.815
9bnp_HL,protenix,Env,A,V2apex,7,13.0,5,76,0.692,0.278,0.258,0.0,0.0,0.212,0.207,0.565,0.55,32.424,33.699,6.967,8.493
9bnp_HL,protenix,Env,A,V2apex,8,7.0,5,76,0.692,0.089,0.091,0.005,0.013,0.334,0.455,0.442,0.505,26.736,14.506,14.074,10.976
9bnp_HL,protenix,Env,A,V2apex,9,1.0,5,76,0.692,0.097,0.234,0.055,0.149,0.682,0.802,0.423,0.461,14.164,8.756,19.254,16.374
9bnp_HL,protenix,Env,A,V2apex,10,2.0,5,76,0.692,0.169,0.172,0.022,0.065,0.458,0.678,0.485,0.53,20.52,21.132,13.126,11.466
9bnp_HL,protenix,Env,A,V2apex,11,1.0,5,76,0.692,0.184,0.198,0.032,0.07,0.559,0.709,0.495,0.46,16.036,6.946,14.181,15.273
8vfv_GI,protenix,Env,B,MPER,0,223.626,5,0,0.0,0.0,0.0,0.037,0.066,0.331,0.51,,,16.712,12.84,,
8vfv_GI,protenix,Env,B,MPER,1,159.699,5,0,0.0,0.0,0.0,0.036,0.047,0.373,0.437,,,16.972,18.009,,
8vfv_GI,protenix,Env,B,MPER,2,95.645,5,0,0.0,0.0,0.0,0.029,0.03,0.238,0.235,,,16.557,16.53,,
8vfv_GI,protenix,Env,B,MPER,3,55.489,5,0,0.0,0.0,0.0,0.042,0.058,0.365,0.417,,,15.797,12.724,,
8vfv_GI,protenix,Env,B,MPER,4,35.65,5,0,0.0,0.0,0.0,0.029,0.054,0.317,0.477,,,16.556,14.9,,
8vfv_GI,protenix,Env,B,MPER,5,28.431,5,0,0.0,0.0,0.0,0.032,0.034,0.313,0.381,,,12.461,12.721,,
8vfv_GI,protenix,Env,B,MPER,6,13.843,5,0,0.0,0.0,0.0,0.023,0.033,0.368,0.368,,,16.876,19.646,,
8vfv_GI,protenix,Env,B,MPER,7,9.75,5,0,0.0,0.0,0.0,0.026,0.044,0.285,0.439,,,19.668,22.189,,
8vfv_GI,protenix,Env,B,MPER,8,7.667,5,0,0.0,0.0,0.0,0.013,0.039,0.334,0.396,,,20.049,18.482,,
8vfv_GI,protenix,Env,B,MPER,9,3.0,5,0,0.0,0.0,0.0,0.048,0.063,0.442,0.475,,,25.502,26.703,,
8vfv_GI,protenix,Env,B,MPER,10,2.0,5,0,0.0,0.0,0.0,0.02,0.056,0.277,0.396,,,21.044,32.045,,
8vfv_GI,protenix,Env,B,MPER,11,1.0,5,0,0.0,0.0,0.0,0.028,0.068,0.409,0.52,,,11.562,8.072,,
9y0a_AB,protenix,C,C,Bet-v-1,0,1123.223,5,0,,,,0.087,0.2,0.461,0.723,,,18.273,12.527,,
9y0a_AB,protenix,C,C,Bet-v-1,1,688.404,5,0,,,,0.108,0.2,0.517,0.72,,,16.808,11.431,,
9y0a_AB,protenix,C,C,Bet-v-1,2,409.989,5,0,,,,0.0,0.0,0.17,0.178,,,23.526,23.007,,
9y0a_AB,protenix,C,C,Bet-v-1,3,221.42,5,0,,,,0.205,0.462,0.609,0.766,,,14.933,7.591,,
9y0a_AB,protenix,C,C,Bet-v-1,4,112.719,5,0,,,,0.154,0.241,0.616,0.674,,,13.891,10.744,,
9y0a_AB,protenix,C,C,Bet-v-1,5,59.833,5,0,,,,0.0,0.0,0.169,0.162,,,23.587,23.175,,
9y0a_AB,protenix,C,C,Bet-v-1,6,28.0,5,0,,,,0.188,0.348,0.649,0.728,,,13.618,11.464,,
9y0a_AB,protenix,C,C,Bet-v-1,7,14.0,5,0,,,,0.085,0.269,0.472,0.731,,,18.177,10.926,,
9y0a_AB,protenix,C,C,Bet-v-1,8,8.0,5,0,,,,0.108,0.2,0.588,0.731,,,16.363,10.696,,
9y0a_AB,protenix,C,C,Bet-v-1,9,3.0,5,0,,,,0.115,0.237,0.51,0.739,,,14.665,11.077,,
9y0a_AB,protenix,C,C,Bet-v-1,10,2.0,5,0,,,,0.142,0.208,0.601,0.694,,,14.399,11.696,,
9y0a_AB,protenix,C,C,Bet-v-1,11,1.0,5,0,,,,0.12,0.255,0.513,0.747,,,11.213,8.832,,
8kep_HL,protenix,RBD,A,class1/2(RBM),0,28.735,5,73,1.0,0.587,0.547,0.19,0.266,0.7,0.789,0.648,0.63,20.56,19.727,8.28,9.088
8kep_HL,protenix,RBD,A,class1/2(RBM),1,21.687,5,73,1.0,0.65,0.829,0.229,0.366,0.726,0.833,0.671,0.752,19.341,13.117,7.489,3.69
8kep_HL,protenix,RBD,A,class1/2(RBM),2,15.319,5,73,1.0,0.669,0.787,0.227,0.298,0.713,0.797,0.688,0.749,18.016,13.894,5.778,2.785
8kep_HL,protenix,RBD,A,class1/2(RBM),3,11.75,5,73,1.0,0.767,0.923,0.32,0.436,0.813,0.872,0.733,0.778,10.23,6.385,4.609,4.159
8kep_HL,protenix,RBD,A,class1/2(RBM),4,9.067,5,73,1.0,0.563,0.634,0.17,0.239,0.657,0.743,0.624,0.666,16.269,13.391,10.32,8.363
