target,n_run,comp_site,comp_reach,seed_site,seed_reach,full_site,full_reach,n_comp,fix_comp
8sit_HL,3,2.26,0.308,1.793,0.242,1,0.0,6,(전체평균)
8sit_HL,4,2.77,0.457,2.165,0.328,1,0.0,6,(전체평균)
8t4a_PR,1,1,0.967,1,0.967,1,1.0,6,(전체평균)
8t4a_PR,2,1.807,1.0,1.59,1.0,1.648,1.0,6,(전체평균)
8t4a_PR,3,2.45,1.0,2.06,1.0,2.043,1.0,6,(전체평균)
8t4a_PR,4,2.982,1.0,2.32,1.0,2.493,1.0,6,(전체평균)
8t4d_OQ,1,1,0.965,1,0.965,1,1.0,6,(전체평균)
8t4d_OQ,2,1.932,1.0,1.557,1.0,1.322,1.0,6,(전체평균)
8t4d_OQ,3,2.787,1.0,1.968,1.0,1.418,1.0,6,(전체평균)
8t4d_OQ,4,3.623,1.0,2.31,1.0,1.512,1.0,6,(전체평균)
8tp5_HL,1,1,0.25,1,0.25,1,0.0,6,(전체평균)
8tp5_HL,2,1.667,0.447,1.53,0.41,1.048,0.0,6,(전체평균)
8tp5_HL,3,2.128,0.598,1.802,0.508,1.023,0.0,6,(전체평균)
8tp5_HL,4,2.525,0.74,2.017,0.677,1.012,0.0,6,(전체평균)
8u44_ST,1,1,0.418,1,0.418,1,0.368,6,(전체평균)
8u44_ST,2,1.75,0.687,1.807,0.708,1.46,0.638,6,(전체평균)
8u44_ST,3,2.213,0.833,2.42,0.848,1.757,0.845,6,(전체평균)
8u44_ST,4,2.548,0.895,2.837,1.0,1.807,0.93,6,(전체평균)
8ulr_HL,1,1,0.843,1,0.843,1,1.0,8,(전체평균)
8ulr_HL,2,1.672,0.98,1.263,0.917,1.203,1.0,8,(전체평균)
8ulr_HL,3,2.143,1.0,1.305,0.972,1.293,1.0,8,(전체평균)
8ulr_HL,4,2.39,1.0,1.375,1.0,1.223,1.0,8,(전체평균)
8ume_HL,1,1,0.188,1,0.188,1,0.135,6,(전체평균)
8ume_HL,2,1.877,0.392,1.715,0.395,1.962,0.232,6,(전체평균)
8ume_HL,3,2.617,0.492,2.337,0.522,2.883,0.373,6,(전체평균)
8ume_HL,4,3.333,0.647,2.855,0.673,3.785,0.47,6,(전체평균)
8xsi_HL,1,1,0.0,1,0.0,1,0.0,6,(전체평균)
8xsi_HL,2,1.598,0.0,1.308,0.0,1,0.0,6,(전체평균)
8xsi_HL,3,1.907,0.0,1.473,0.0,1,0.0,6,(전체평균)
8xsi_HL,4,2.083,0.0,1.503,0.0,1,0.0,6,(전체평균)
9azt_HL,1,1,0.242,1,0.242,1,0.0,6,(전체평균)
9azt_HL,2,2,0.47,1.867,0.45,1.17,0.0,6,(전체평균)
9azt_HL,3,3,0.588,2.653,0.597,1.108,0.0,6,(전체평균)
9azt_HL,4,4,0.732,3.343,0.678,1.043,0.0,6,(전체평균)
9azv_HL,1,1,0.068,1,0.068,1,0.782,6,(전체평균)
9azv_HL,2,1.865,0.162,1.812,0.132,1.872,0.942,6,(전체평균)
9azv_HL,3,2.56,0.272,2.417,0.137,2.633,1.0,6,(전체평균)
9azv_HL,4,3.147,0.33,3.008,0.158,3.255,1.0,6,(전체평균)
9b7g_QP,1,1,1.0,1,1.0,1,1.0,6,(전체평균)
9b7g_QP,2,1.1,1.0,1.07,1.0,1,1.0,6,(전체평균)
9b7g_QP,3,1.152,1.0,1.115,1.0,1,1.0,6,(전체평균)
9b7g_QP,4,1.18,1.0,1.17,1.0,1,1.0,6,(전체평균)
9bdg_FI,1,1,0.152,1,0.152,1,0.373,6,(전체평균)
9bdg_FI,2,1.613,0.34,1.458,0.25,1.368,0.608,6,(전체평균)
9bdg_FI,3,2.017,0.44,1.728,0.278,1.532,0.805,6,(전체평균)
9bdg_FI,4,2.333,0.617,1.827,0.332,1.585,0.932,6,(전체평균)
9kkj_HL,1,1,0.507,1,0.507,1,0.85,6,(전체평균)
9kkj_HL,2,1.292,0.775,1.205,0.715,1.172,1.0,6,(전체평균)
9kkj_HL,3,1.342,0.9,1.21,0.807,1.185,1.0,6,(전체평균)
9kkj_HL,4,1.413,0.968,1.173,0.83,1.147,1.0,6,(전체평균)
9ml9_HL,1,1,0.375,1,0.375,1,0.248,6,(전체평균)
9ml9_HL,2,1.602,0.635,1.357,0.547,1.132,0.473,6,(전체평균)
9ml9_HL,3,1.91,0.787,1.453,0.65,1.085,0.67,6,(전체평균)
9ml9_HL,4,2.11,0.907,1.487,0.668,1.047,0.807,6,(전체평균)
9mqr_DE,1,1,0.0,1,0.0,1,0.0,6,(전체평균)
9mqr_DE,2,1.402,0.0,1.145,0.0,1.488,0.0,6,(전체평균)
9mqr_DE,3,1.555,0.0,1.31,0.0,1.665,0.0,6,(전체평균)
9mqr_DE,4,1.608,0.0,1.51,0.0,1.765,0.0,6,(전체평균)
9w43_AB,1,1,0.0,1,0.0,1,0.0,6,(전체평균)
9w43_AB,2,1.46,0.0,1.225,0.0,1,0.0,6,(전체평균)
9w43_AB,3,1.685,0.0,1.317,0.0,1,0.0,6,(전체평균)
9w43_AB,4,1.808,0.0,1.345,0.0,1,0.0,6,(전체평균)
9y0a_AB,1,1,0.0,1,0.0,1,0.0,6,(전체평균)
9y0a_AB,2,1.572,0.0,1.355,0.0,1.338,0.0,6,(전체평균)
9y0a_AB,3,1.92,0.0,1.568,0.0,1.465,0.0,6,(전체평균)
9y0a_AB,4,1.982,0.0,1.692,0.0,1.563,0.0,6,(전체평균)
9yc6_HL,1,1,0.813,1,0.813,1,1.0,6,(전체평균)
9yc6_HL,2,1.797,0.99,1.817,0.948,1.022,1.0,6,(전체평균)
9yc6_HL,3,2.328,1.0,2.498,1.0,1,1.0,6,(전체평균)
9yc6_HL,4,2.737,1.0,3.013,1.0,1,1.0,6,(전체평균)
9zdu_HL,1,1,0.783,1,0.783,1,1.0,6,(전체평균)
9zdu_HL,2,1.408,0.975,1.042,0.818,1.29,1.0,6,(전체평균)
9zdu_HL,3,1.545,1.0,1.05,0.817,1.407,1.0,6,(전체평균)
9zdu_HL,4,1.613,1.0,1,0.828,1.512,1.0,6,(전체평균)
