target,group,ab,model,rung,neff80,n_true,n_ag,n_pose,best_recall,mean_recall,min_recall,best_prec,best_f1,best_mcc,best_auprc,mean_auprc
9azr_HL,HA,A,boltz,5,22.355,24,213,5,0.917,0.75,0.083,0.611,0.733,0.711,0.761,0.616
9azr_HL,HA,A,boltz,6,14.167,24,213,5,0.875,0.283,0.083,0.7,0.778,0.752,0.707,0.284
9azr_HL,HA,A,boltz,7,9.0,24,213,5,0.917,0.725,0.417,0.733,0.815,0.795,0.764,0.64
9azr_HL,HA,A,boltz,8,6.0,24,213,5,0.917,0.808,0.5,0.647,0.759,0.737,0.741,0.693
9azr_HL,HA,A,boltz,9,3.0,24,213,5,0.875,0.467,0.167,0.656,0.75,0.723,0.646,0.457
9azr_HL,HA,A,boltz,10,2.0,24,213,5,0.917,0.433,0.042,0.667,0.772,0.75,0.71,0.405
8txu_HL,HA,B,boltz,0,52.955,22,493,5,0.227,0.045,0.0,0.25,0.238,0.205,0.225,0.074
8txu_HL,HA,B,boltz,1,38.101,22,493,5,0.773,0.155,0.0,0.81,0.791,0.781,0.909,0.209
8txu_HL,HA,B,boltz,2,28.121,22,493,5,0.318,0.064,0.0,0.292,0.304,0.271,0.318,0.097
8txu_HL,HA,B,boltz,3,20.959,22,493,5,0.227,0.091,0.0,0.238,0.233,0.198,0.227,0.102
8txu_HL,HA,B,boltz,4,15.707,22,493,5,0.364,0.191,0.0,0.258,0.302,0.268,0.301,0.179
8txu_HL,HA,B,boltz,5,11.471,22,493,5,0.273,0.091,0.0,0.333,0.3,0.272,0.3,0.116
8txu_HL,HA,B,boltz,6,9.167,22,493,5,0.318,0.064,0.0,0.28,0.298,0.263,0.26,0.084
8txu_HL,HA,B,boltz,7,8.0,22,493,5,0.636,0.191,0.0,0.933,0.757,0.762,0.894,0.259
8txu_HL,HA,B,boltz,8,5.0,22,493,5,0.364,0.1,0.0,0.267,0.308,0.274,0.264,0.108
8txu_HL,HA,B,boltz,9,2.0,22,493,5,0.182,0.055,0.0,0.222,0.2,0.167,0.245,0.08
8txu_HL,HA,B,boltz,10,2.0,22,493,5,0.182,0.036,0.0,0.222,0.2,0.167,0.227,0.073
8t4b_OQ,Env,A,boltz,0,2935.914,14,434,5,0.714,0.271,0.0,0.37,0.488,0.493,0.469,0.218
8t4b_OQ,Env,A,boltz,1,1433.539,14,434,5,0.786,0.314,0.0,0.297,0.431,0.458,0.471,0.229
8t4b_OQ,Env,A,boltz,2,674.603,14,434,5,0.786,0.343,0.0,0.344,0.478,0.497,0.497,0.274
8t4b_OQ,Env,A,boltz,3,319.087,14,434,5,0.714,0.243,0.0,0.476,0.571,0.567,0.635,0.201
8t4b_OQ,Env,A,boltz,4,153.583,14,434,5,0.786,0.286,0.0,0.423,0.55,0.558,0.573,0.227
8t4b_OQ,Env,A,boltz,5,81.0,14,434,5,0.714,0.357,0.0,0.5,0.588,0.582,0.65,0.311
8t4b_OQ,Env,A,boltz,6,31.0,14,434,5,0.714,0.343,0.0,0.345,0.465,0.473,0.464,0.214
8t4b_OQ,Env,A,boltz,7,14.0,14,434,5,0.571,0.114,0.0,0.296,0.39,0.385,0.34,0.102
8t4b_OQ,Env,A,boltz,8,4.0,14,434,5,0.857,0.171,0.0,0.462,0.6,0.613,0.768,0.184
8t4b_OQ,Env,A,boltz,9,3.0,14,434,5,0.786,0.157,0.0,0.478,0.595,0.597,0.599,0.156
8t4b_OQ,Env,A,boltz,10,1.0,14,434,5,0.786,0.157,0.0,0.44,0.564,0.571,0.564,0.149
8tkc_GH,Env,B,boltz,0,209.114,14,130,5,0.5,0.129,0.0,0.25,0.333,0.241,0.276,0.119
8tkc_GH,Env,B,boltz,1,145.773,14,130,5,0.214,0.114,0.071,0.107,0.143,-0.001,0.097,0.086
8tkc_GH,Env,B,boltz,2,101.098,14,130,5,0.214,0.114,0.0,0.094,0.13,-0.026,0.147,0.101
8tkc_GH,Env,B,boltz,3,67.901,14,130,5,0.643,0.143,0.0,0.22,0.327,0.245,0.209,0.099
8tkc_GH,Env,B,boltz,4,43.801,14,130,5,0.5,0.157,0.0,0.175,0.259,0.145,0.227,0.127
8tkc_GH,Env,B,boltz,5,33.118,14,130,5,0.357,0.157,0.0,0.25,0.294,0.196,0.334,0.154
8tkc_GH,Env,B,boltz,6,20.151,14,130,5,0.571,0.243,0.0,0.205,0.302,0.206,0.245,0.137
8tkc_GH,Env,B,boltz,7,8.149,14,130,5,0.143,0.043,0.0,0.053,0.077,-0.114,0.074,0.084
8tkc_GH,Env,B,boltz,8,4.077,14,130,5,0.643,0.171,0.0,0.333,0.439,0.373,0.395,0.146
8tkc_GH,Env,B,boltz,9,4.0,14,130,5,0.357,0.171,0.0,0.172,0.233,0.112,0.332,0.136
8tkc_GH,Env,B,boltz,10,2.0,14,130,5,0.643,0.286,0.071,0.25,0.36,0.284,0.284,0.142
9xf9_HL,C,C,boltz,0,49.8,15,240,5,0.4,0.12,0.0,0.188,0.255,0.203,0.13,0.069
9xf9_HL,C,C,boltz,1,37.333,15,240,5,0.467,0.213,0.0,0.179,0.259,0.213,0.22,0.106
9xf9_HL,C,C,boltz,2,26.45,15,240,5,0.533,0.2,0.0,0.2,0.291,0.254,0.206,0.099
9xf9_HL,C,C,boltz,3,20.167,15,240,5,0.8,0.44,0.2,0.333,0.471,0.47,0.431,0.274
9xf9_HL,C,C,boltz,4,15.0,15,240,5,0.467,0.24,0.0,0.184,0.264,0.218,0.174,0.122
9xf9_HL,C,C,boltz,5,10.0,15,240,5,0.4,0.253,0.067,0.171,0.24,0.186,0.186,0.128
9xf9_HL,C,C,boltz,6,8.0,15,240,5,0.4,0.267,0.0,0.194,0.261,0.209,0.172,0.139
9xf9_HL,C,C,boltz,7,6.0,15,240,5,0.467,0.253,0.0,0.194,0.275,0.229,0.145,0.121
9xf9_HL,C,C,boltz,8,3.0,15,240,5,0.6,0.333,0.0,0.205,0.305,0.278,0.144,0.129
9xf9_HL,C,C,boltz,9,2.0,15,240,5,0.533,0.427,0.4,0.267,0.356,0.319,0.256,0.173
8q7s_C,RBD,A,boltz,0,35.184,25,188,5,0.92,0.856,0.8,0.885,0.902,0.887,0.976,0.955
8q7s_C,RBD,A,boltz,1,27.594,25,188,5,0.88,0.512,0.0,0.846,0.863,0.841,0.916,0.62
8q7s_C,RBD,A,boltz,2,21.833,25,188,5,0.92,0.832,0.8,0.885,0.902,0.887,0.978,0.947
8q7s_C,RBD,A,boltz,3,14.707,25,188,5,0.92,0.856,0.76,0.885,0.902,0.887,0.957,0.909
8q7s_C,RBD,A,boltz,4,14.0,25,188,5,0.8,0.696,0.32,0.87,0.833,0.81,0.96,0.812
8q7s_C,RBD,A,boltz,5,8.0,25,188,5,0.92,0.856,0.76,0.92,0.92,0.908,0.98,0.955
8q7s_C,RBD,A,boltz,6,7.0,25,188,5,0.92,0.848,0.76,0.885,0.902,0.887,0.958,0.936
8q7s_C,RBD,A,boltz,7,4.0,25,188,5,0.92,0.824,0.76,0.793,0.852,0.83,0.895,0.943
8q7s_C,RBD,A,boltz,8,4.0,25,188,5,0.92,0.688,0.0,0.821,0.868,0.848,0.923,0.763
8q7s_C,RBD,A,boltz,9,2.0,25,188,5,0.88,0.808,0.76,0.815,0.846,0.822,0.868,0.927
8q7s_H,RBD,B,boltz,0,35.589,26,184,5,0.077,0.031,0.0,0.1,0.087,-0.041,0.137,0.126
8q7s_H,RBD,B,boltz,1,27.022,26,184,5,0.115,0.054,0.0,0.143,0.128,0.002,0.144,0.134
8q7s_H,RBD,B,boltz,2,22.35,26,184,5,0.077,0.054,0.038,0.105,0.089,-0.035,0.13,0.13
8q7s_H,RBD,B,boltz,3,14.733,26,184,5,0.077,0.054,0.038,0.1,0.087,-0.041,0.13,0.131
8q7s_H,RBD,B,boltz,4,14.0,26,184,5,0.115,0.077,0.0,0.158,0.133,0.016,0.142,0.139
8q7s_H,RBD,B,boltz,5,9.0,26,184,5,0.808,0.177,0.0,0.84,0.824,0.795,0.889,0.284
8q7s_H,RBD,B,boltz,6,7.0,26,184,5,0.077,0.031,0.0,0.1,0.087,-0.041,0.166,0.137
8q7s_H,RBD,B,boltz,7,4.0,26,184,5,0.077,0.038,0.0,0.111,0.091,-0.029,0.128,0.122
8q7s_H,RBD,B,boltz,8,4.0,26,184,5,0.577,0.154,0.038,0.75,0.652,0.61,0.701,0.243
8q7s_H,RBD,B,boltz,9,2.0,26,184,5,0.077,0.038,0.0,0.105,0.089,-0.035,0.131,0.129
9azv_HL,HA,A,boltz,0,119.616,24,213,5,0.917,0.708,0.208,0.647,0.759,0.737,0.612,0.519
9azv_HL,HA,A,boltz,1,88.834,24,213,5,0.875,0.742,0.292,0.618,0.724,0.696,0.662,0.568
9azv_HL,HA,A,boltz,2,68.907,24,213,5,0.958,0.767,0.625,0.639,0.767,0.751,0.693,0.638
9azv_HL,HA,A,boltz,3,45.001,24,213,5,0.875,0.783,0.708,0.656,0.75,0.723,0.611,0.622
9azv_HL,HA,A,boltz,4,29.735,24,213,5,0.958,0.525,0.0,0.657,0.78,0.764,0.707,0.452
9azv_HL,HA,A,boltz,5,21.936,24,213,5,0.875,0.6,0.083,0.75,0.808,0.784,0.805,0.494
9azv_HL,HA,A,boltz,6,14.0,24,213,5,0.917,0.608,0.167,0.629,0.746,0.723,0.688,0.498
9azv_HL,HA,A,boltz,7,9.333,24,213,5,0.792,0.617,0.417,0.576,0.667,0.627,0.627,0.486
9azv_HL,HA,A,boltz,8,5.0,24,213,5,0.917,0.808,0.542,0.688,0.786,0.764,0.783,0.638
9azv_HL,HA,A,boltz,9,3.0,24,213,5,0.958,0.7,0.167,0.657,0.78,0.764,0.668,0.57
9azv_HL,HA,A,boltz,10,2.0,24,213,5,0.917,0.625,0.0,0.611,0.733,0.711,0.556,0.506
8u44_ST,HA,B,boltz,0,63.164,31,495,5,0.581,0.471,0.387,0.947,0.72,0.73,0.888,0.756
8u44_ST,HA,B,boltz,1,42.043,31,495,5,0.677,0.626,0.581,0.913,0.778,0.775,0.839,0.834
8u44_ST,HA,B,boltz,2,34.284,31,495,5,0.613,0.581,0.516,0.864,0.717,0.713,0.858,0.862
8u44_ST,HA,B,boltz,3,24.977,31,495,5,0.645,0.535,0.484,0.952,0.769,0.773,0.864,0.818
8u44_ST,HA,B,boltz,4,16.673,31,495,5,0.71,0.516,0.419,0.917,0.8,0.796,0.871,0.828
8u44_ST,HA,B,boltz,5,10.076,31,495,5,0.613,0.529,0.323,0.613,0.613,0.587,0.65,0.759
8u44_ST,HA,B,boltz,6,10.333,31,495,5,0.71,0.581,0.516,0.88,0.786,0.778,0.876,0.843
8u44_ST,HA,B,boltz,7,8.333,31,495,5,0.71,0.581,0.484,0.815,0.759,0.746,0.858,0.796
8u44_ST,HA,B,boltz,8,5.0,31,495,5,0.71,0.594,0.516,0.667,0.688,0.666,0.589,0.807
8u44_ST,HA,B,boltz,9,3.0,31,495,5,0.71,0.51,0.387,0.846,0.772,0.761,0.879,0.758
8u44_ST,HA,B,boltz,10,2.0,31,495,5,0.613,0.516,0.419,0.905,0.731,0.732,0.858,0.772
9bnp_HL,Env,A,boltz,0,2582.986,13,436,5,0.769,0.415,0.0,0.5,0.606,0.606,0.661,0.307
9bnp_HL,Env,A,boltz,1,1252.756,13,436,5,0.615,0.231,0.0,0.267,0.372,0.379,0.315,0.141
9bnp_HL,Env,A,boltz,2,614.293,13,436,5,0.692,0.169,0.0,0.281,0.4,0.416,0.282,0.093
9bnp_HL,Env,A,boltz,3,288.364,13,436,5,0.846,0.338,0.0,0.579,0.688,0.689,0.728,0.332
9bnp_HL,Env,A,boltz,4,143.434,13,436,5,0.769,0.508,0.154,0.588,0.667,0.661,0.685,0.462
9bnp_HL,Env,A,boltz,5,64.333,13,436,5,0.769,0.415,0.0,0.455,0.571,0.576,0.484,0.35
9bnp_HL,Env,A,boltz,6,29.333,13,436,5,0.846,0.492,0.077,0.55,0.667,0.671,0.59,0.344
9bnp_HL,Env,A,boltz,7,13.0,13,436,5,0.769,0.215,0.0,0.588,0.667,0.661,0.72,0.208
9bnp_HL,Env,A,boltz,8,7.0,13,436,5,0.154,0.046,0.0,0.111,0.129,0.099,0.158,0.058
9bnp_HL,Env,A,boltz,9,1.0,13,436,5,0.692,0.385,0.0,0.474,0.562,0.557,0.535,0.234
9bnp_HL,Env,A,boltz,10,2.0,13,436,5,0.538,0.231,0.0,0.35,0.424,0.413,0.456,0.162
9y0a_AB,C,C,boltz,0,1123.223,18,159,5,0.0,0.0,0.0,0.0,0.0,-0.151,0.084,0.074
9y0a_AB,C,C,boltz,1,688.404,18,159,5,0.778,0.167,0.0,0.778,0.778,0.749,0.927,0.242
9y0a_AB,C,C,boltz,2,409.989,18,159,5,0.0,0.0,0.0,0.0,0.0,-0.132,0.078,0.073
9y0a_AB,C,C,boltz,3,221.42,18,159,5,0.0,0.0,0.0,0.0,0.0,-0.162,0.078,0.073
9y0a_AB,C,C,boltz,4,112.719,18,159,5,0.056,0.011,0.0,0.059,0.057,-0.059,0.08,0.077
9y0a_AB,C,C,boltz,5,59.833,18,159,5,0.0,0.0,0.0,0.0,0.0,-0.183,0.069,0.069
9y0a_AB,C,C,boltz,6,28.0,18,159,5,0.889,0.189,0.0,0.727,0.8,0.777,0.763,0.212
9y0a_AB,C,C,boltz,7,14.0,18,159,5,0.0,0.0,0.0,0.0,0.0,-0.169,0.072,0.072
9y0a_AB,C,C,boltz,8,8.0,18,159,5,0.0,0.0,0.0,0.0,0.0,-0.128,0.087,0.079
9y0a_AB,C,C,boltz,9,3.0,18,159,5,0.0,0.0,0.0,0.0,0.0,-0.12,0.07,0.069
9y0a_AB,C,C,boltz,10,2.0,18,159,5,0.833,0.167,0.0,0.789,0.811,0.786,0.871,0.233
8kep_HL,RBD,A,boltz,0,28.735,21,196,5,0.905,0.867,0.857,0.826,0.864,0.848,0.918,0.792
8kep_HL,RBD,A,boltz,1,21.687,21,196,5,0.905,0.886,0.857,0.731,0.809,0.789,0.896,0.842
8kep_HL,RBD,A,boltz,2,15.319,21,196,5,0.905,0.829,0.714,0.76,0.826,0.807,0.878,0.851
8kep_HL,RBD,A,boltz,3,11.75,21,196,5,0.857,0.838,0.81,0.72,0.783,0.758,0.797,0.837
8kep_HL,RBD,A,boltz,4,9.067,21,196,5,0.905,0.876,0.81,0.792,0.844,0.827,0.931,0.846
8kep_HL,RBD,A,boltz,5,9.0,21,196,5,0.905,0.867,0.81,0.679,0.776,0.754,0.738,0.835
8kep_HL,RBD,A,boltz,6,6.0,21,196,5,0.857,0.743,0.524,0.621,0.72,0.692,0.783,0.668
8kep_HL,RBD,A,boltz,7,3.0,21,196,5,0.905,0.857,0.762,0.704,0.792,0.771,0.786,0.811
8kep_HL,RBD,A,boltz,8,3.0,21,196,5,0.81,0.667,0.524,0.739,0.773,0.745,0.792,0.629
8kep_HL,RBD,A,boltz,9,2.0,21,196,5,0.905,0.857,0.81,0.679,0.776,0.754,0.82,0.813
8wpy_AB,RBD,B,boltz,0,35.938,22,195,5,0.955,0.664,0.545,0.955,0.955,0.949,0.987,0.801
8wpy_AB,RBD,B,boltz,1,23.026,22,195,5,0.955,0.409,0.0,1.0,0.977,0.974,0.992,0.491
8wpy_AB,RBD,B,boltz,2,19.368,22,195,5,0.955,0.191,0.0,1.0,0.977,0.974,1.0,0.259
8wpy_AB,RBD,B,boltz,3,17.975,22,195,5,0.0,0.0,0.0,0.0,0.0,-0.11,0.078,0.079
8wpy_AB,RBD,B,boltz,4,12.75,22,195,5,0.0,0.0,0.0,0.0,0.0,-0.124,0.077,0.074
8wpy_AB,RBD,B,boltz,5,9.083,22,195,5,0.0,0.0,0.0,0.0,0.0,-0.13,0.069,0.074
8wpy_AB,RBD,B,boltz,6,7.0,22,195,5,0.0,0.0,0.0,0.0,0.0,-0.114,0.076,0.075
8wpy_AB,RBD,B,boltz,7,5.0,22,195,5,0.0,0.0,0.0,0.0,0.0,-0.121,0.069,0.074
8wpy_AB,RBD,B,boltz,8,2.0,22,195,5,0.0,0.0,0.0,0.0,0.0,-0.124,0.071,0.071
8wpy_AB,RBD,B,boltz,9,2.0,22,195,5,0.0,0.0,0.0,0.0,0.0,-0.121,0.069,0.075
9azt_HL,HA,A,boltz,0,119.616,24,213,5,0.917,0.558,0.0,0.688,0.786,0.764,0.66,0.556
9azt_HL,HA,A,boltz,1,88.834,24,213,5,0.917,0.533,0.0,0.667,0.772,0.75,0.709,0.45
9azt_HL,HA,A,boltz,2,68.907,24,213,5,0.917,0.767,0.667,0.759,0.83,0.811,0.851,0.681
9azt_HL,HA,A,boltz,3,45.001,24,213,5,0.875,0.667,0.417,0.75,0.808,0.784,0.8,0.64
9azt_HL,HA,A,boltz,4,29.735,24,213,5,0.875,0.658,0.5,0.6,0.712,0.683,0.686,0.57
9azt_HL,HA,A,boltz,5,21.936,24,213,5,0.833,0.475,0.042,0.645,0.727,0.695,0.711,0.441
9azt_HL,HA,A,boltz,6,14.0,24,213,5,0.75,0.5,0.0,0.667,0.706,0.668,0.671,0.485
9azt_HL,HA,A,boltz,7,9.333,24,213,5,0.917,0.842,0.792,0.759,0.83,0.811,0.781,0.708
9azt_HL,HA,A,boltz,8,5.0,24,213,5,0.917,0.75,0.458,0.71,0.8,0.779,0.723,0.618
9azt_HL,HA,A,boltz,9,3.0,24,213,5,0.75,0.692,0.583,0.6,0.667,0.624,0.715,0.635
9azt_HL,HA,A,boltz,10,2.0,24,213,5,0.833,0.55,0.167,0.625,0.714,0.681,0.665,0.545
8tx3_FK,HA,B,boltz,0,59.723,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.041,0.021,0.022
8tx3_FK,HA,B,boltz,1,45.597,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.034,0.022,0.022
8tx3_FK,HA,B,boltz,2,37.619,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.035,0.022,0.022
8tx3_FK,HA,B,boltz,3,22.394,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.046,0.021,0.022
8tx3_FK,HA,B,boltz,4,14.609,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.044,0.021,0.022
8tx3_FK,HA,B,boltz,5,10.425,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.042,0.022,0.022
8tx3_FK,HA,B,boltz,6,12.333,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.046,0.021,0.022
8tx3_FK,HA,B,boltz,7,6.0,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.041,0.021,0.022
8tx3_FK,HA,B,boltz,8,5.0,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.045,0.021,0.023
8tx3_FK,HA,B,boltz,9,3.0,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.036,0.022,0.022
8tx3_FK,HA,B,boltz,10,2.0,18,498,5,0.0,0.0,0.0,0.0,0.0,-0.039,0.024,0.022
8ulr_HL,Env,A,boltz,0,3050.887,30,440,5,0.967,0.367,0.0,0.879,0.921,0.916,0.924,0.387
8ulr_HL,Env,A,boltz,1,1511.812,30,440,5,0.933,0.507,0.0,0.824,0.875,0.867,0.948,0.583
8ulr_HL,Env,A,boltz,2,701.811,30,440,5,0.967,0.547,0.0,0.829,0.892,0.887,0.92,0.563
8ulr_HL,Env,A,boltz,3,342.686,30,440,5,0.967,0.74,0.0,0.853,0.906,0.901,0.86,0.734
8ulr_HL,Env,A,boltz,4,159.769,30,440,5,0.933,0.72,0.0,0.824,0.875,0.867,0.839,0.71
8ulr_HL,Env,A,boltz,5,79.083,30,440,5,0.933,0.74,0.0,0.875,0.903,0.896,0.912,0.743
8ulr_HL,Env,A,boltz,6,32.0,30,440,5,0.933,0.553,0.0,0.824,0.875,0.867,0.827,0.535
8ulr_HL,Env,A,boltz,7,19.0,30,440,5,0.933,0.56,0.0,0.757,0.836,0.828,0.934,0.583
8ulr_HL,Env,A,boltz,8,11.0,30,440,5,0.967,0.38,0.0,0.829,0.892,0.887,0.887,0.385
8ulr_HL,Env,A,boltz,9,4.0,30,440,5,0.967,0.553,0.0,0.806,0.879,0.873,0.854,0.542
8ulr_HL,Env,A,boltz,10,1.0,30,440,5,0.967,0.753,0.0,0.763,0.853,0.848,0.872,0.728
9evz_HL,Env,B,boltz,0,184.805,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.048,0.018,0.019
9evz_HL,Env,B,boltz,1,132.33,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.047,0.018,0.018
9evz_HL,Env,B,boltz,2,83.296,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.046,0.019,0.019
9evz_HL,Env,B,boltz,3,50.224,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.05,0.019,0.018
9evz_HL,Env,B,boltz,4,34.159,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.044,0.018,0.018
9evz_HL,Env,B,boltz,5,21.279,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.052,0.019,0.019
9evz_HL,Env,B,boltz,6,15.977,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.052,0.018,0.018
9evz_HL,Env,B,boltz,7,6.63,18,555,5,0.222,0.044,0.0,0.085,0.123,0.09,0.047,0.024
9evz_HL,Env,B,boltz,8,5.017,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.047,0.019,0.02
9evz_HL,Env,B,boltz,9,5.0,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.047,0.019,0.019
9evz_HL,Env,B,boltz,10,1.0,18,555,5,0.0,0.0,0.0,0.0,0.0,-0.046,0.018,0.018
9vxl_BC,C,C,boltz,0,607.011,12,229,5,0.167,0.033,0.0,0.071,0.1,0.032,0.061,0.042
9vxl_BC,C,C,boltz,1,387.973,12,229,5,0.0,0.0,0.0,0.0,0.0,-0.075,0.058,0.039
9vxl_BC,C,C,boltz,2,228.407,12,229,5,0.0,0.0,0.0,0.0,0.0,-0.102,0.031,0.033
9vxl_BC,C,C,boltz,3,134.012,12,229,5,0.417,0.083,0.0,0.192,0.263,0.225,0.297,0.085
9vxl_BC,C,C,boltz,4,70.438,12,229,5,0.25,0.05,0.0,0.136,0.176,0.123,0.158,0.059
9vxl_BC,C,C,boltz,5,42.0,12,229,5,0.0,0.0,0.0,0.0,0.0,-0.075,0.048,0.039
9vxl_BC,C,C,boltz,6,21.0,12,229,5,0.0,0.0,0.0,0.0,0.0,-0.088,0.038,0.035
9vxl_BC,C,C,boltz,7,13.0,12,229,5,0.0,0.0,0.0,0.0,0.0,-0.088,0.039,0.035
9vxl_BC,C,C,boltz,8,6.0,12,229,5,0.0,0.0,0.0,0.0,0.0,-0.082,0.046,0.036
9vxl_BC,C,C,boltz,9,4.0,12,229,5,0.167,0.05,0.0,0.143,0.154,0.104,0.145,0.06
9vxl_BC,C,C,boltz,10,2.0,12,229,5,0.083,0.017,0.0,0.037,0.051,-0.025,0.06,0.038
8k5g_HL,RBD,A,boltz,0,30.926,15,201,5,0.867,0.8,0.733,0.765,0.812,0.798,0.932,0.909
8k5g_HL,RBD,A,boltz,1,22.373,15,201,5,0.867,0.813,0.733,0.722,0.788,0.773,0.921,0.906
8k5g_HL,RBD,A,boltz,2,16.222,15,201,5,0.867,0.84,0.8,0.812,0.839,0.826,0.92,0.905
8k5g_HL,RBD,A,boltz,3,14.842,15,201,5,0.933,0.853,0.8,0.778,0.848,0.839,0.92,0.916
8k5g_HL,RBD,A,boltz,4,10.667,15,201,5,0.933,0.853,0.8,0.737,0.824,0.814,0.941,0.917
8k5g_HL,RBD,A,boltz,5,8.417,15,201,5,0.933,0.893,0.8,0.7,0.8,0.791,0.872,0.913
8k5g_HL,RBD,A,boltz,6,6.5,15,201,5,0.933,0.84,0.733,0.737,0.824,0.814,0.936,0.878
8k5g_HL,RBD,A,boltz,7,4.0,15,201,5,0.933,0.827,0.733,0.7,0.8,0.791,0.916,0.905
8k5g_HL,RBD,A,boltz,8,3.0,15,201,5,0.8,0.787,0.733,0.706,0.75,0.73,0.871,0.901
8k5g_HL,RBD,A,boltz,9,1.0,15,201,5,0.933,0.84,0.733,0.824,0.875,0.866,0.941,0.915
8k3k_D,RBD,B,boltz,0,28.989,26,194,5,0.769,0.577,0.038,0.667,0.714,0.669,0.776,0.622
8k3k_D,RBD,B,boltz,1,20.875,26,194,5,0.692,0.554,0.077,0.667,0.679,0.629,0.64,0.619
