target,group,ab,model,rung,neff80,best_dockq,n_pose
8tp5_HL,HA,A,boltz,5,23.367,0.212,5
8tp5_HL,HA,A,boltz,6,11.283,0.107,5
8tp5_HL,HA,A,boltz,7,10.333,0.087,5
8tp5_HL,HA,A,boltz,8,6.0,0.106,5
8tp5_HL,HA,A,boltz,9,3.0,0.118,5
8tp5_HL,HA,A,boltz,10,2.0,0.076,5
8txm_HL,HA,B,boltz,0,58.804,0.155,5
8txm_HL,HA,B,boltz,1,41.087,0.164,5
8txm_HL,HA,B,boltz,2,29.332,0.155,5
8txm_HL,HA,B,boltz,3,26.881,0.115,5
8txm_HL,HA,B,boltz,4,14.953,0.141,5
8txm_HL,HA,B,boltz,5,7.253,0.142,5
8txm_HL,HA,B,boltz,6,8.333,0.147,5
8txm_HL,HA,B,boltz,7,8.0,0.186,5
8txm_HL,HA,B,boltz,8,3.0,0.138,5
8txm_HL,HA,B,boltz,9,3.0,0.18,5
8txm_HL,HA,B,boltz,10,2.0,0.114,5
8t49_PR,Env,A,boltz,0,2935.914,0.223,5
8t49_PR,Env,A,boltz,1,1433.539,0.017,5
8t49_PR,Env,A,boltz,2,674.603,0.191,5
8t49_PR,Env,A,boltz,3,319.087,0.158,5
8t49_PR,Env,A,boltz,4,153.583,0.191,5
8t49_PR,Env,A,boltz,5,81.0,0.23,5
8t49_PR,Env,A,boltz,6,31.0,0.247,5
8t49_PR,Env,A,boltz,7,14.0,0.008,5
8t49_PR,Env,A,boltz,8,4.0,0.197,5
8t49_PR,Env,A,boltz,9,3.0,0.248,5
8t49_PR,Env,A,boltz,10,1.0,0.25,5
9ly5_AB,C,C,boltz,0,3708.0,0.045,5
9ly5_AB,C,C,boltz,1,1800.063,0.089,5
9ly5_AB,C,C,boltz,2,859.349,0.095,5
9ly5_AB,C,C,boltz,3,385.7,0.092,5
9ly5_AB,C,C,boltz,4,177.15,0.097,5
9ly5_AB,C,C,boltz,5,88.0,0.093,5
9ly5_AB,C,C,boltz,6,39.0,0.08,5
9ly5_AB,C,C,boltz,7,18.0,0.097,5
9ly5_AB,C,C,boltz,8,9.0,0.096,5
9ly5_AB,C,C,boltz,9,4.0,0.08,5
9ly5_AB,C,C,boltz,10,2.0,0.087,5
8k5h_HL,RBD,A,boltz,0,33.664,0.841,5
8k5h_HL,RBD,A,boltz,1,24.424,0.79,5
8k5h_HL,RBD,A,boltz,2,14.413,0.83,5
8k5h_HL,RBD,A,boltz,3,12.183,0.802,5
8k5h_HL,RBD,A,boltz,4,12.0,0.835,5
8k5h_HL,RBD,A,boltz,5,10.0,0.823,5
8k5h_HL,RBD,A,boltz,6,4.0,0.819,5
8k5h_HL,RBD,A,boltz,7,4.0,0.842,5
8k5h_HL,RBD,A,boltz,8,2.0,0.78,5
8k5h_HL,RBD,A,boltz,9,2.0,0.823,5
8xsj_HL,RBD,B,boltz,0,39.18,0.044,5
8xsj_HL,RBD,B,boltz,1,31.574,0.046,5
8xsj_HL,RBD,B,boltz,2,20.748,0.045,5
8xsj_HL,RBD,B,boltz,3,19.0,0.039,5
8xsj_HL,RBD,B,boltz,4,12.833,0.041,5
8xsj_HL,RBD,B,boltz,5,10.0,0.044,5
8xsj_HL,RBD,B,boltz,6,7.0,0.08,5
8xsj_HL,RBD,B,boltz,7,4.0,0.045,5
8xsj_HL,RBD,B,boltz,8,2.0,0.044,5
8xsj_HL,RBD,B,boltz,9,2.0,0.042,5
8xsj_HL,RBD,B,boltz,10,2.0,0.041,5
9b7g_QP,HA,A,boltz,0,175.83,0.115,5
9b7g_QP,HA,A,boltz,1,127.599,0.063,5
9b7g_QP,HA,A,boltz,2,82.037,0.052,5
9b7g_QP,HA,A,boltz,3,62.323,0.068,5
9b7g_QP,HA,A,boltz,4,39.0,0.067,5
9b7g_QP,HA,A,boltz,5,26.0,0.055,5
9b7g_QP,HA,A,boltz,6,15.5,0.069,5
9b7g_QP,HA,A,boltz,7,8.0,0.117,5
9b7g_QP,HA,A,boltz,8,4.0,0.062,5
9b7g_QP,HA,A,boltz,9,2.0,0.067,5
9b7g_QP,HA,A,boltz,10,1.0,0.631,5
8txt_GI,HA,B,boltz,0,61.26,0.196,5
8txt_GI,HA,B,boltz,1,44.764,0.206,5
8txt_GI,HA,B,boltz,2,29.963,0.275,5
8txt_GI,HA,B,boltz,3,22.726,0.282,5
8txt_GI,HA,B,boltz,4,16.18,0.131,5
8txt_GI,HA,B,boltz,5,11.81,0.138,5
8txt_GI,HA,B,boltz,6,8.167,0.175,5
8txt_GI,HA,B,boltz,7,6.333,0.121,5
8txt_GI,HA,B,boltz,8,4.0,0.195,5
8txt_GI,HA,B,boltz,9,3.0,0.118,5
8txt_GI,HA,B,boltz,10,2.0,0.155,5
8t4d_OQ,Env,A,boltz,0,2935.914,0.012,5
8t4d_OQ,Env,A,boltz,1,1433.539,0.01,5
8t4d_OQ,Env,A,boltz,2,674.603,0.063,5
8t4d_OQ,Env,A,boltz,3,319.087,0.392,5
8t4d_OQ,Env,A,boltz,4,153.583,0.188,5
8t4d_OQ,Env,A,boltz,5,81.0,0.008,5
8t4d_OQ,Env,A,boltz,6,31.0,0.008,5
8t4d_OQ,Env,A,boltz,7,14.0,0.034,5
8t4d_OQ,Env,A,boltz,8,4.0,0.043,5
8t4d_OQ,Env,A,boltz,9,3.0,0.008,5
8t4d_OQ,Env,A,boltz,10,1.0,0.008,5
8tq1_CD,Env,B,boltz,0,205.166,0.032,5
8tq1_CD,Env,B,boltz,1,143.733,0.027,5
8tq1_CD,Env,B,boltz,2,89.064,0.024,5
8tq1_CD,Env,B,boltz,3,56.154,0.015,5
8tq1_CD,Env,B,boltz,4,37.605,0.098,5
8tq1_CD,Env,B,boltz,5,24.278,0.048,5
8tq1_CD,Env,B,boltz,6,14.03,0.072,5
8tq1_CD,Env,B,boltz,7,7.542,0.061,5
8tq1_CD,Env,B,boltz,8,6.35,0.009,5
8tq1_CD,Env,B,boltz,9,2.0,0.046,5
8tq1_CD,Env,B,boltz,10,1.0,0.047,5
9mqr_DE,C,C,boltz,0,704.691,0.042,5
9mqr_DE,C,C,boltz,1,391.169,0.02,5
9mqr_DE,C,C,boltz,2,196.333,0.044,5
9mqr_DE,C,C,boltz,3,98.0,0.045,5
9mqr_DE,C,C,boltz,4,36.0,0.041,5
9mqr_DE,C,C,boltz,5,17.0,0.043,5
9mqr_DE,C,C,boltz,6,9.0,0.021,5
9mqr_DE,C,C,boltz,7,7.0,0.055,5
9mqr_DE,C,C,boltz,8,4.0,0.027,5
9mqr_DE,C,C,boltz,9,1.0,0.029,5
9mqr_DE,C,C,boltz,10,2.0,0.022,5
8q5y_GH,RBD,A,boltz,0,28.326,0.047,5
8q5y_GH,RBD,A,boltz,1,20.843,0.058,5
8q5y_GH,RBD,A,boltz,2,16.742,0.062,5
8q5y_GH,RBD,A,boltz,3,12.467,0.411,5
8q5y_GH,RBD,A,boltz,4,10.117,0.058,5
8q5y_GH,RBD,A,boltz,5,7.333,0.052,5
8q5y_GH,RBD,A,boltz,6,3.583,0.052,5
8q5y_GH,RBD,A,boltz,7,4.0,0.062,5
8q5y_GH,RBD,A,boltz,8,3.0,0.078,5
8q5y_GH,RBD,A,boltz,9,2.0,0.059,5
8k46_I,RBD,B,boltz,0,37.236,0.113,5
8k46_I,RBD,B,boltz,1,28.355,0.163,5
8k46_I,RBD,B,boltz,2,22.35,0.01,5
8k46_I,RBD,B,boltz,3,14.267,0.024,5
8k46_I,RBD,B,boltz,4,13.0,0.138,5
8k46_I,RBD,B,boltz,5,9.333,0.2,5
8k46_I,RBD,B,boltz,6,5.667,0.168,5
8k46_I,RBD,B,boltz,7,3.0,0.19,5
8k46_I,RBD,B,boltz,8,2.0,0.083,5
8k46_I,RBD,B,boltz,9,2.0,0.075,5
9bdg_FI,HA,A,boltz,0,183.969,0.066,5
9bdg_FI,HA,A,boltz,1,127.756,0.018,5
9bdg_FI,HA,A,boltz,2,88.441,0.034,5
9bdg_FI,HA,A,boltz,3,54.161,0.021,5
9bdg_FI,HA,A,boltz,4,35.023,0.026,5
9bdg_FI,HA,A,boltz,5,24.917,0.024,5
9bdg_FI,HA,A,boltz,6,14.0,0.031,5
9bdg_FI,HA,A,boltz,7,10.0,0.031,5
9bdg_FI,HA,A,boltz,8,4.0,0.045,5
9bdg_FI,HA,A,boltz,9,3.0,0.023,5
9bdg_FI,HA,A,boltz,10,2.0,0.034,5
8txt_HL,HA,B,boltz,0,61.26,0.139,5
8txt_HL,HA,B,boltz,1,44.764,0.217,5
8txt_HL,HA,B,boltz,2,29.963,0.23,5
8txt_HL,HA,B,boltz,3,22.726,0.12,5
8txt_HL,HA,B,boltz,4,16.18,0.103,5
8txt_HL,HA,B,boltz,5,11.81,0.164,5
8txt_HL,HA,B,boltz,6,8.167,0.178,5
8txt_HL,HA,B,boltz,7,6.333,0.165,5
8txt_HL,HA,B,boltz,8,4.0,0.16,5
8txt_HL,HA,B,boltz,9,3.0,0.145,5
8txt_HL,HA,B,boltz,10,2.0,0.113,5
8t4a_PR,Env,A,boltz,0,2820.437,0.275,5
8t4a_PR,Env,A,boltz,1,1396.689,0.245,5
8t4a_PR,Env,A,boltz,2,640.632,0.254,5
8t4a_PR,Env,A,boltz,3,311.528,0.269,5
8t4a_PR,Env,A,boltz,4,146.6,0.208,5
8t4a_PR,Env,A,boltz,5,69.25,0.214,5
8t4a_PR,Env,A,boltz,6,27.0,0.278,5
8t4a_PR,Env,A,boltz,7,16.0,0.299,5
8t4a_PR,Env,A,boltz,8,8.0,0.188,5
8t4a_PR,Env,A,boltz,9,4.0,0.232,5
8t4a_PR,Env,A,boltz,10,2.0,0.333,5
8tl5_IJ,Env,B,boltz,0,212.877,0.005,5
8tl5_IJ,Env,B,boltz,1,144.238,0.005,5
8tl5_IJ,Env,B,boltz,2,92.801,0.005,5
8tl5_IJ,Env,B,boltz,3,57.722,0.005,5
8tl5_IJ,Env,B,boltz,4,41.962,0.005,5
8tl5_IJ,Env,B,boltz,5,31.326,0.005,5
8tl5_IJ,Env,B,boltz,6,14.632,0.005,5
8tl5_IJ,Env,B,boltz,7,8.262,0.005,5
8tl5_IJ,Env,B,boltz,8,3.883,0.005,5
8tl5_IJ,Env,B,boltz,9,5.0,0.005,5
8tl5_IJ,Env,B,boltz,10,1.0,0.005,5
9kkj_HL,C,C,boltz,0,2270.445,0.673,5
9kkj_HL,C,C,boltz,1,1269.808,0.688,5
9kkj_HL,C,C,boltz,2,692.331,0.68,5
9kkj_HL,C,C,boltz,3,338.7,0.69,5
9kkj_HL,C,C,boltz,4,166.091,0.659,5
9kkj_HL,C,C,boltz,5,81.0,0.684,5
9kkj_HL,C,C,boltz,6,33.0,0.661,5
9kkj_HL,C,C,boltz,7,19.0,0.685,5
9kkj_HL,C,C,boltz,8,10.0,0.674,5
9kkj_HL,C,C,boltz,9,4.0,0.636,5
9kkj_HL,C,C,boltz,10,2.0,0.681,5
8kdm_GF,RBD,A,boltz,0,35.766,0.052,5
8kdm_GF,RBD,A,boltz,1,26.237,0.056,5
8kdm_GF,RBD,A,boltz,2,16.333,0.037,5
8kdm_GF,RBD,A,boltz,3,12.133,0.042,5
8kdm_GF,RBD,A,boltz,4,8.0,0.227,5
8kdm_GF,RBD,A,boltz,5,8.667,0.034,5
8kdm_GF,RBD,A,boltz,6,7.0,0.051,5
8kdm_GF,RBD,A,boltz,7,5.0,0.057,5
8kdm_GF,RBD,A,boltz,8,1.0,0.058,5
8kdm_GF,RBD,A,boltz,9,2.0,0.042,5
8vye_AD,RBD,B,boltz,0,27.685,0.911,5
8vye_AD,RBD,B,boltz,1,22.188,0.915,5
8vye_AD,RBD,B,boltz,2,14.233,0.923,5
8vye_AD,RBD,B,boltz,3,11.417,0.934,5
8vye_AD,RBD,B,boltz,4,12.0,0.927,5
8vye_AD,RBD,B,boltz,5,7.0,0.915,5
8vye_AD,RBD,B,boltz,6,5.667,0.913,5
8vye_AD,RBD,B,boltz,7,2.0,0.918,5
8vye_AD,RBD,B,boltz,8,3.0,0.928,5
8vye_AD,RBD,B,boltz,9,1.0,0.916,5
8ume_HL,HA,A,boltz,0,175.081,0.018,5
8ume_HL,HA,A,boltz,1,121.354,0.032,5
8ume_HL,HA,A,boltz,2,81.02,0.024,5
8ume_HL,HA,A,boltz,3,47.163,0.031,5
8ume_HL,HA,A,boltz,4,36.56,0.02,5
8ume_HL,HA,A,boltz,5,22.333,0.012,5
8ume_HL,HA,A,boltz,6,12.333,0.018,5
8ume_HL,HA,A,boltz,7,10.0,0.014,5
8ume_HL,HA,A,boltz,8,5.0,0.012,5
8ume_HL,HA,A,boltz,9,4.0,0.037,5
8ume_HL,HA,A,boltz,10,2.0,0.013,5
8txp_HL,HA,B,boltz,0,59.175,0.135,5
8txp_HL,HA,B,boltz,1,39.206,0.133,5
8txp_HL,HA,B,boltz,2,29.106,0.14,5
8txp_HL,HA,B,boltz,3,23.782,0.134,5
8txp_HL,HA,B,boltz,4,13.423,0.134,5
8txp_HL,HA,B,boltz,5,11.085,0.131,5
8txp_HL,HA,B,boltz,6,8.45,0.141,5
8txp_HL,HA,B,boltz,7,9.0,0.138,5
8txp_HL,HA,B,boltz,8,4.0,0.121,5
8txp_HL,HA,B,boltz,9,3.0,0.152,5
8txp_HL,HA,B,boltz,10,2.0,0.14,5
9w43_AB,C,C,boltz,0,4555.159,0.068,5
9w43_AB,C,C,boltz,1,2219.055,0.067,5
9w43_AB,C,C,boltz,2,1056.999,0.162,5
9w43_AB,C,C,boltz,3,505.0,0.071,5
9w43_AB,C,C,boltz,4,234.0,0.068,5
9w43_AB,C,C,boltz,5,104.0,0.143,5
9w43_AB,C,C,boltz,6,48.0,0.068,5
9w43_AB,C,C,boltz,7,22.0,0.068,5
9w43_AB,C,C,boltz,8,11.0,0.067,5
9w43_AB,C,C,boltz,9,5.0,0.068,5
9w43_AB,C,C,boltz,10,2.0,0.072,5
9yc6_HL,C,C,boltz,0,271.111,0.071,5
9yc6_HL,C,C,boltz,1,169.38,0.035,5
