target,family,ab,label,rung,neff80,n_pose,n_pop,native_overrep,mean_overrep,oracle_overrep,mean_recall,oracle_recall,mean_true_rank,oracle_true_rank,mean_pop_rank,oracle_pop_rank,mean_dcc_true,oracle_dcc_true,mean_dcc_pop,oracle_dcc_pop
8txu_HL,HA,B,stem,9,2.0,5,251,0.0,0.663,0.056,0.059,0.222,0.418,0.884,0.549,0.314,57.367,18.862,30.293,58.616
8txu_HL,HA,B,stem,10,2.0,5,251,0.0,0.656,0.056,0.044,0.222,0.395,0.867,0.544,0.32,56.655,18.912,30.823,58.602
8t4b_OQ,Env,A,N332,0,2935.914,5,72,0.286,0.245,0.222,0.146,0.37,0.801,0.958,0.581,0.62,18.484,10.054,21.067,19.436
8t4b_OQ,Env,A,N332,1,1433.539,5,72,0.286,0.2,0.227,0.159,0.5,0.752,0.967,0.565,0.588,19.349,6.791,19.621,19.182
8t4b_OQ,Env,A,N332,2,674.603,5,72,0.286,0.283,0.208,0.177,0.375,0.815,0.958,0.582,0.572,17.37,11.124,21.275,20.209
8t4b_OQ,Env,A,N332,3,319.087,5,72,0.286,0.141,0.143,0.145,0.476,0.746,0.967,0.575,0.61,18.062,8.986,19.227,19.515
8t4b_OQ,Env,A,N332,4,153.583,5,72,0.286,0.221,0.238,0.17,0.429,0.684,0.955,0.561,0.604,21.117,8.99,21.266,19.387
8t4b_OQ,Env,A,N332,5,81.0,5,72,0.286,0.165,0.25,0.207,0.5,0.794,0.967,0.592,0.622,17.25,7.153,19.788,19.497
8t4b_OQ,Env,A,N332,6,31.0,5,72,0.286,0.264,0.276,0.189,0.345,0.804,0.955,0.585,0.599,17.27,8.625,20.688,18.8
8t4b_OQ,Env,A,N332,7,14.0,5,72,0.286,0.144,0.259,0.059,0.296,0.68,0.942,0.559,0.638,22.425,10.773,20.632,18.014
8t4b_OQ,Env,A,N332,8,4.0,5,72,0.286,0.245,0.192,0.092,0.462,0.631,0.974,0.558,0.608,23.772,4.253,22.312,17.953
8t4b_OQ,Env,A,N332,9,3.0,5,72,0.286,0.192,0.174,0.096,0.478,0.694,0.964,0.532,0.599,20.649,7.746,20.498,19.017
8t4b_OQ,Env,A,N332,10,1.0,5,72,0.286,0.196,0.16,0.088,0.44,0.706,0.96,0.544,0.599,21.431,8.269,20.978,18.592
8tkc_GH,Env,B,FP,0,209.114,5,0,0.0,0.0,0.0,0.066,0.25,0.403,0.725,,,19.555,8.873,,
8tkc_GH,Env,B,FP,1,145.773,5,0,0.0,0.0,0.0,0.048,0.107,0.374,0.42,,,17.561,20.819,,
8tkc_GH,Env,B,FP,2,101.098,5,0,0.0,0.0,0.0,0.048,0.094,0.44,0.636,,,18.187,15.108,,
8tkc_GH,Env,B,FP,3,67.901,5,0,0.0,0.0,0.0,0.051,0.22,0.331,0.719,,,18.16,9.567,,
8tkc_GH,Env,B,FP,4,43.801,5,0,0.0,0.0,0.0,0.057,0.175,0.48,0.678,,,17.365,9.032,,
8tkc_GH,Env,B,FP,5,33.118,5,0,0.0,0.0,0.0,0.092,0.25,0.528,0.746,,,18.561,13.474,,
8tkc_GH,Env,B,FP,6,20.151,5,0,0.0,0.0,0.0,0.1,0.205,0.444,0.67,,,18.891,9.628,,
8tkc_GH,Env,B,FP,7,8.149,5,0,0.0,0.0,0.0,0.018,0.053,0.33,0.292,,,21.928,26.049,,
8tkc_GH,Env,B,FP,8,4.077,5,0,0.0,0.0,0.0,0.091,0.333,0.418,0.821,,,18.619,8.481,,
8tkc_GH,Env,B,FP,9,4.0,5,0,0.0,0.0,0.0,0.07,0.172,0.439,0.678,,,20.847,12.885,,
8tkc_GH,Env,B,FP,10,2.0,5,0,0.0,0.0,0.0,0.108,0.25,0.5,0.766,,,19.289,11.841,,
9xf9_HL,C,C,Kasokero-endo,0,49.8,5,0,,,,0.057,0.188,0.442,0.634,,,19.421,12.832,,
9xf9_HL,C,C,Kasokero-endo,1,37.333,5,0,,,,0.091,0.179,0.489,0.686,,,18.647,11.128,,
9xf9_HL,C,C,Kasokero-endo,2,26.45,5,0,,,,0.081,0.2,0.507,0.718,,,17.979,8.783,,
9xf9_HL,C,C,Kasokero-endo,3,20.167,5,0,,,,0.187,0.333,0.717,0.844,,,13.033,5.187,,
9xf9_HL,C,C,Kasokero-endo,4,15.0,5,0,,,,0.105,0.2,0.584,0.709,,,15.921,11.118,,
9xf9_HL,C,C,Kasokero-endo,5,10.0,5,0,,,,0.129,0.217,0.582,0.719,,,15.543,8.546,,
9xf9_HL,C,C,Kasokero-endo,6,8.0,5,0,,,,0.127,0.2,0.638,0.763,,,15.96,12.959,,
9xf9_HL,C,C,Kasokero-endo,7,6.0,5,0,,,,0.109,0.194,0.611,0.667,,,16.729,15.334,,
9xf9_HL,C,C,Kasokero-endo,8,3.0,5,0,,,,0.13,0.216,0.582,0.734,,,16.452,13.049,,
9xf9_HL,C,C,Kasokero-endo,9,2.0,5,0,,,,0.199,0.267,0.717,0.78,,,14.167,13.981,,
8q7s_C,RBD,A,class1/2(RBM),0,35.184,5,73,0.96,0.951,0.957,0.878,0.957,0.929,0.933,0.76,0.761,1.733,0.505,4.151,4.4
8q7s_C,RBD,A,class1/2(RBM),1,27.594,5,73,0.96,0.693,0.957,0.544,0.87,0.746,0.929,0.646,0.761,8.458,1.205,9.063,4.064
8q7s_C,RBD,A,class1/2(RBM),2,21.833,5,73,0.96,0.943,0.955,0.853,0.909,0.927,0.928,0.759,0.755,2.328,1.864,3.976,3.932
8q7s_C,RBD,A,class1/2(RBM),3,14.707,5,73,0.96,0.951,0.95,0.88,0.95,0.926,0.928,0.759,0.76,1.715,2.183,4.289,4.12
8q7s_C,RBD,A,class1/2(RBM),4,14.0,5,73,0.96,0.911,0.957,0.738,0.87,0.904,0.929,0.751,0.759,3.324,1.185,4.342,4.241
8q7s_C,RBD,A,class1/2(RBM),5,8.0,5,73,0.96,0.943,0.96,0.88,0.92,0.93,0.933,0.761,0.764,1.392,1.879,4.26,4.103
8q7s_C,RBD,A,class1/2(RBM),6,7.0,5,73,0.96,0.941,0.955,0.885,0.955,0.926,0.929,0.758,0.761,1.77,2.683,4.083,3.61
8q7s_C,RBD,A,class1/2(RBM),7,4.0,5,73,0.96,0.943,0.957,0.856,0.913,0.928,0.929,0.761,0.759,2.555,2.118,4.131,3.743
8q7s_C,RBD,A,class1/2(RBM),8,4.0,5,73,0.96,0.764,0.96,0.668,0.84,0.803,0.926,0.674,0.759,6.649,2.432,8.434,4.155
8q7s_C,RBD,A,class1/2(RBM),9,2.0,5,73,0.96,0.95,0.957,0.85,0.87,0.926,0.929,0.76,0.759,2.305,3.006,4.007,4.007
8q7s_H,RBD,B,class4,0,35.589,5,73,0.231,0.99,0.95,0.042,0.1,0.455,0.483,0.766,0.765,25.741,23.538,5.466,4.326
8q7s_H,RBD,B,class4,1,27.022,5,73,0.231,0.989,1.0,0.071,0.143,0.469,0.473,0.764,0.766,24.747,23.201,4.891,4.777
8q7s_H,RBD,B,class4,2,22.35,5,73,0.231,0.989,0.947,0.074,0.105,0.459,0.464,0.766,0.764,24.823,23.632,4.774,4.118
8q7s_H,RBD,B,class4,3,14.733,5,73,0.231,1.0,1.0,0.08,0.111,0.465,0.466,0.765,0.767,24.228,24.336,4.492,4.404
8q7s_H,RBD,B,class4,4,14.0,5,73,0.231,0.979,0.947,0.101,0.158,0.477,0.467,0.765,0.765,24.323,22.408,5.028,5.246
8q7s_H,RBD,B,class4,5,9.0,5,73,0.231,0.816,0.08,0.192,0.84,0.552,0.901,0.672,0.315,20.493,4.497,9.198,24.326
8q7s_H,RBD,B,class4,6,7.0,5,73,0.231,0.978,1.0,0.042,0.1,0.46,0.471,0.766,0.766,25.55,24.525,5.075,4.683
8q7s_H,RBD,B,class4,7,4.0,5,73,0.231,0.989,1.0,0.056,0.111,0.438,0.452,0.769,0.77,25.652,25.532,5.049,5.048
8q7s_H,RBD,B,class4,8,4.0,5,73,0.231,0.789,0.0,0.203,0.75,0.538,0.85,0.671,0.289,21.83,7.842,9.29,26.213
8q7s_H,RBD,B,class4,9,2.0,5,73,0.231,0.989,0.947,0.054,0.105,0.459,0.468,0.765,0.764,25.956,23.701,5.478,4.15
9azv_HL,HA,A,head,0,119.616,5,207,1.0,0.975,0.971,0.518,0.647,0.83,0.911,0.503,0.503,7.5,4.355,13.606,14.648
9azv_HL,HA,A,head,1,88.834,5,207,1.0,0.978,0.969,0.575,0.656,0.884,0.923,0.503,0.504,6.241,4.138,14.634,14.76
9azv_HL,HA,A,head,2,68.907,5,207,1.0,0.987,1.0,0.559,0.656,0.897,0.916,0.503,0.504,6.142,3.267,13.274,14.963
9azv_HL,HA,A,head,3,45.001,5,207,1.0,0.988,1.0,0.603,0.656,0.903,0.908,0.504,0.505,4.729,2.427,14.476,14.79
9azv_HL,HA,A,head,4,29.735,5,207,1.0,0.994,1.0,0.373,0.657,0.729,0.917,0.502,0.504,11.386,3.194,13.233,14.922
9azv_HL,HA,A,head,5,21.936,5,207,1.0,0.993,1.0,0.504,0.75,0.806,0.927,0.502,0.504,8.496,2.9,13.466,15.319
9azv_HL,HA,A,head,6,14.0,5,207,1.0,0.989,1.0,0.513,0.64,0.835,0.903,0.503,0.504,8.025,5.519,14.063,14.668
9azv_HL,HA,A,head,7,9.333,5,207,1.0,1.0,1.0,0.5,0.613,0.864,0.895,0.503,0.504,6.556,4.428,12.992,14.602
9azv_HL,HA,A,head,8,5.0,5,207,1.0,1.0,1.0,0.638,0.688,0.909,0.923,0.504,0.505,4.566,2.833,14.801,14.945
9azv_HL,HA,A,head,9,3.0,5,207,1.0,0.987,1.0,0.533,0.657,0.844,0.916,0.503,0.504,7.752,3.895,14.047,14.455
9azv_HL,HA,A,head,10,2.0,5,207,1.0,0.991,1.0,0.497,0.667,0.793,0.896,0.501,0.502,9.132,7.021,14.204,13.53
8u44_ST,HA,B,stem,0,63.164,5,246,0.194,0.063,0.105,0.824,0.947,0.945,0.958,0.299,0.303,6.976,2.847,62.069,58.317
8u44_ST,HA,B,stem,1,42.043,5,246,0.194,0.17,0.15,0.882,0.95,0.953,0.958,0.317,0.305,1.907,1.844,55.662,57.416
8u44_ST,HA,B,stem,2,34.284,5,246,0.194,0.15,0.2,0.911,0.95,0.956,0.959,0.307,0.306,2.941,2.188,57.015,55.999
8u44_ST,HA,B,stem,3,24.977,5,246,0.194,0.097,0.143,0.879,0.952,0.952,0.955,0.304,0.303,4.331,2.168,58.978,57.042
8u44_ST,HA,B,stem,4,16.673,5,246,0.194,0.091,0.0,0.935,1.0,0.952,0.948,0.303,0.295,4.488,6.762,59.176,62.625
8u44_ST,HA,B,stem,5,10.076,5,246,0.194,0.141,0.167,0.78,0.889,0.947,0.955,0.305,0.307,5.574,2.428,58.705,54.784
8u44_ST,HA,B,stem,6,10.333,5,246,0.194,0.106,0.105,0.892,0.947,0.954,0.956,0.302,0.304,3.636,2.788,59.051,58.248
8u44_ST,HA,B,stem,7,8.333,5,246,0.194,0.135,0.118,0.806,0.941,0.95,0.952,0.306,0.304,4.19,3.547,58.485,58.357
8u44_ST,HA,B,stem,8,5.0,5,246,0.194,0.156,0.05,0.87,0.95,0.951,0.956,0.314,0.299,4.194,4.455,55.988,60.105
8u44_ST,HA,B,stem,9,3.0,5,246,0.194,0.101,0.154,0.765,0.846,0.944,0.956,0.3,0.301,6.743,2.902,61.302,57.242
8u44_ST,HA,B,stem,10,2.0,5,246,0.194,0.099,0.19,0.806,0.905,0.948,0.956,0.307,0.304,5.435,2.462,59.838,55.745
9bnp_HL,Env,A,V2apex,0,2582.986,5,76,0.692,0.295,0.45,0.217,0.5,0.686,0.96,0.567,0.569,19.753,5.915,23.528,28.92
9bnp_HL,Env,A,V2apex,1,1252.756,5,76,0.692,0.19,0.233,0.125,0.267,0.636,0.917,0.571,0.547,26.725,10.118,23.788,26.266
9bnp_HL,Env,A,V2apex,2,614.293,5,76,0.692,0.176,0.406,0.084,0.281,0.539,0.912,0.526,0.559,30.034,14.487,20.771,22.042
9bnp_HL,Env,A,V2apex,3,288.364,5,76,0.692,0.429,0.417,0.275,0.583,0.777,0.959,0.583,0.583,17.279,5.327,21.665,28.842
9bnp_HL,Env,A,V2apex,4,143.434,5,76,0.692,0.408,0.5,0.388,0.625,0.924,0.969,0.581,0.618,9.737,3.665,25.6,27.244
9bnp_HL,Env,A,V2apex,5,64.333,5,76,0.692,0.281,0.467,0.292,0.533,0.671,0.957,0.585,0.608,23.862,6.668,25.975,27.356
9bnp_HL,Env,A,V2apex,6,29.333,5,76,0.692,0.245,0.45,0.3,0.55,0.893,0.963,0.541,0.575,11.173,5.19,25.809,29.115
9bnp_HL,Env,A,V2apex,7,13.0,5,76,0.692,0.33,0.471,0.152,0.588,0.617,0.967,0.541,0.58,24.457,5.55,22.843,29.716
9bnp_HL,Env,A,V2apex,8,7.0,5,76,0.692,0.159,0.0,0.032,0.111,0.531,0.852,0.522,0.507,30.865,15.346,22.174,23.909
9bnp_HL,Env,A,V2apex,9,1.0,5,76,0.692,0.318,0.368,0.208,0.474,0.755,0.95,0.584,0.562,17.987,6.771,21.216,27.977
9bnp_HL,Env,A,V2apex,10,2.0,5,76,0.692,0.218,0.3,0.12,0.35,0.644,0.939,0.541,0.562,25.223,8.422,22.989,27.365
9y0a_AB,C,C,Bet-v-1,0,1123.223,5,0,,,,0.0,0.0,0.255,0.354,,,22.598,20.491,,
9y0a_AB,C,C,Bet-v-1,1,688.404,5,0,,,,0.168,0.778,0.365,0.935,,,20.12,2.657,,
9y0a_AB,C,C,Bet-v-1,2,409.989,5,0,,,,0.0,0.0,0.25,0.299,,,22.876,21.537,,
9y0a_AB,C,C,Bet-v-1,3,221.42,5,0,,,,0.0,0.0,0.251,0.298,,,23.448,21.039,,
9y0a_AB,C,C,Bet-v-1,4,112.719,5,0,,,,0.012,0.059,0.291,0.304,,,22.877,23.336,,
9y0a_AB,C,C,Bet-v-1,5,59.833,5,0,,,,0.0,0.0,0.206,0.2,,,23.639,22.342,,
9y0a_AB,C,C,Bet-v-1,6,28.0,5,0,,,,0.158,0.727,0.383,0.92,,,18.664,0.806,,
9y0a_AB,C,C,Bet-v-1,7,14.0,5,0,,,,0.0,0.0,0.238,0.231,,,22.907,21.32,,
9y0a_AB,C,C,Bet-v-1,8,8.0,5,0,,,,0.0,0.0,0.31,0.371,,,23.038,20.321,,
9y0a_AB,C,C,Bet-v-1,9,3.0,5,0,,,,0.0,0.0,0.205,0.229,,,24.443,25.187,,
9y0a_AB,C,C,Bet-v-1,10,2.0,5,0,,,,0.158,0.789,0.379,0.932,,,19.116,1.587,,
8kep_HL,RBD,A,class1/2(RBM),0,28.735,5,73,1.0,0.878,0.957,0.718,0.826,0.927,0.941,0.749,0.748,3.744,0.549,10.452,13.113
8kep_HL,RBD,A,class1/2(RBM),1,21.687,5,73,1.0,0.889,0.913,0.7,0.783,0.93,0.938,0.751,0.746,3.9,2.516,10.192,11.767
8kep_HL,RBD,A,class1/2(RBM),2,15.319,5,73,1.0,0.873,0.944,0.73,0.833,0.933,0.94,0.745,0.749,3.647,1.418,11.073,13.758
8kep_HL,RBD,A,class1/2(RBM),3,11.75,5,73,1.0,0.881,0.952,0.733,0.81,0.931,0.936,0.748,0.764,3.494,0.731,11.164,12.956
8kep_HL,RBD,A,class1/2(RBM),4,9.067,5,73,1.0,0.871,0.917,0.717,0.792,0.933,0.94,0.747,0.752,4.079,2.565,10.478,11.61
8kep_HL,RBD,A,class1/2(RBM),5,9.0,5,73,1.0,0.905,0.955,0.737,0.818,0.932,0.939,0.753,0.76,3.891,2.714,10.384,11.088
8kep_HL,RBD,A,class1/2(RBM),6,6.0,5,73,1.0,0.908,0.913,0.575,0.783,0.9,0.936,0.757,0.743,7.131,2.732,8.008,11.975
8kep_HL,RBD,A,class1/2(RBM),7,3.0,5,73,1.0,0.878,0.955,0.708,0.818,0.93,0.942,0.752,0.757,3.979,0.904,10.089,12.592
8kep_HL,RBD,A,class1/2(RBM),8,3.0,5,73,1.0,0.907,0.826,0.567,0.739,0.89,0.932,0.762,0.74,8.433,4.075,7.681,11.709
8kep_HL,RBD,A,class1/2(RBM),9,2.0,5,73,1.0,0.864,0.833,0.682,0.75,0.928,0.937,0.752,0.746,4.806,3.619,9.579,11.331
8wpy_AB,RBD,B,class3,0,35.938,5,73,0.091,0.175,0.136,0.74,0.955,0.911,0.944,0.396,0.387,5.076,1.821,23.943,24.487
8wpy_AB,RBD,B,class3,1,23.026,5,73,0.091,0.454,0.095,0.429,1.0,0.645,0.945,0.541,0.386,13.86,0.786,17.649,25.25
8wpy_AB,RBD,B,class3,2,19.368,5,73,0.091,0.783,0.095,0.2,1.0,0.407,0.946,0.689,0.381,21.843,0.162,10.443,26.047
8wpy_AB,RBD,B,class3,3,17.975,5,73,0.091,0.78,1.0,0.0,0.0,0.316,0.318,0.669,0.77,24.436,26.897,11.309,7.879
8wpy_AB,RBD,B,class3,4,12.75,5,73,0.091,0.915,0.952,0.0,0.0,0.264,0.301,0.76,0.773,26.929,27.003,6.724,7.105
8wpy_AB,RBD,B,class3,5,9.083,5,73,0.091,0.955,0.87,0.0,0.0,0.27,0.219,0.76,0.75,26.551,26.129,7.748,7.935
8wpy_AB,RBD,B,class3,6,7.0,5,73,0.091,0.909,1.0,0.0,0.0,0.283,0.293,0.746,0.769,25.922,26.713,8.627,7.671
8wpy_AB,RBD,B,class3,7,5.0,5,73,0.091,0.871,0.85,0.0,0.0,0.267,0.218,0.746,0.748,26.316,26.895,8.176,6.966
8wpy_AB,RBD,B,class3,8,2.0,5,73,0.091,0.893,0.905,0.0,0.0,0.236,0.237,0.752,0.762,26.685,26.902,7.769,7.477
8wpy_AB,RBD,B,class3,9,2.0,5,73,0.091,0.958,0.9,0.0,0.0,0.282,0.219,0.765,0.753,26.66,26.817,7.795,7.919
9azt_HL,HA,A,head,0,119.616,5,207,1.0,0.972,1.0,0.5,0.778,0.801,0.928,0.502,0.504,9.786,3.528,14.522,15.039
9azt_HL,HA,A,head,1,88.834,5,207,1.0,0.981,0.97,0.4,0.667,0.745,0.921,0.503,0.503,10.961,4.345,14.597,14.603
9azt_HL,HA,A,head,2,68.907,5,207,1.0,0.98,1.0,0.595,0.759,0.901,0.928,0.504,0.504,5.878,2.885,14.151,15.209
9azt_HL,HA,A,head,3,45.001,5,207,1.0,0.986,1.0,0.552,0.75,0.892,0.93,0.503,0.504,7.243,3.654,13.584,15.471
9azt_HL,HA,A,head,4,29.735,5,207,1.0,0.988,0.971,0.522,0.6,0.874,0.913,0.503,0.504,7.289,5.096,13.657,14.646
9azt_HL,HA,A,head,5,21.936,5,207,1.0,0.983,1.0,0.404,0.645,0.811,0.916,0.502,0.504,11.57,4.822,13.839,15.185
9azt_HL,HA,A,head,6,14.0,5,207,1.0,0.988,1.0,0.457,0.714,0.807,0.898,0.502,0.503,10.46,6.359,13.509,15.3
9azt_HL,HA,A,head,7,9.333,5,207,1.0,1.0,1.0,0.663,0.759,0.913,0.923,0.504,0.504,4.517,3.436,14.747,15.138
9azt_HL,HA,A,head,8,5.0,5,207,1.0,1.0,1.0,0.605,0.724,0.895,0.925,0.504,0.504,5.767,3.53,13.886,15.074
9azt_HL,HA,A,head,9,3.0,5,207,1.0,0.993,1.0,0.582,0.636,0.898,0.913,0.503,0.504,6.339,6.299,13.949,14.452
9azt_HL,HA,A,head,10,2.0,5,207,1.0,0.985,0.958,0.522,0.75,0.873,0.918,0.503,0.504,8.773,5.841,14.675,15.007
8tx3_FK,HA,B,stem,0,59.723,5,251,0.0,1.0,1.0,0.0,0.0,0.16,0.138,0.711,0.739,75.846,80.039,13.648,10.995
8tx3_FK,HA,B,stem,1,45.597,5,251,0.0,1.0,1.0,0.0,0.0,0.148,0.176,0.705,0.698,82.241,77.96,16.057,14.034
8tx3_FK,HA,B,stem,2,37.619,5,251,0.0,0.98,1.0,0.0,0.0,0.155,0.172,0.709,0.682,78.199,70.129,13.913,15.773
8tx3_FK,HA,B,stem,3,22.394,5,251,0.0,0.936,1.0,0.0,0.0,0.189,0.144,0.664,0.742,67.406,81.755,17.512,9.798
8tx3_FK,HA,B,stem,4,14.609,5,251,0.0,0.887,1.0,0.0,0.0,0.176,0.142,0.675,0.74,69.635,80.087,17.098,9.846
8tx3_FK,HA,B,stem,5,10.425,5,251,0.0,1.0,1.0,0.0,0.0,0.16,0.145,0.689,0.741,76.368,95.861,19.041,19.451
8tx3_FK,HA,B,stem,6,12.333,5,251,0.0,1.0,1.0,0.0,0.0,0.143,0.139,0.719,0.74,85.108,83.523,18.214,14.231
8tx3_FK,HA,B,stem,7,6.0,5,251,0.0,0.978,1.0,0.0,0.0,0.15,0.141,0.717,0.739,77.328,79.687,13.444,10.583
8tx3_FK,HA,B,stem,8,5.0,5,251,0.0,0.958,1.0,0.0,0.0,0.19,0.14,0.661,0.74,69.891,80.715,18.927,10.011
8tx3_FK,HA,B,stem,9,3.0,5,251,0.0,1.0,1.0,0.0,0.0,0.145,0.154,0.694,0.695,76.915,80.997,18.186,14.602
