pdb,antigen,Hchain,Lchain,antigen_chain,nb,date,res,antigen_name
7JV4,RBD,H,L,A|B,False,2020/08/20,3.4,Spike glycoprotein
7JV6,RBD,C,D,B,False,2020/08/20,3.0,Spike glycoprotein
7JV2,RBD,H,L,A,False,2020/08/20,3.5,Spike glycoprotein
7JV6,RBD,H,L,A,False,2020/08/20,3.0,Spike glycoprotein
7JVB,RBD,C,nan,A|G,True,2020/08/20,3.287,Spike protein S1|CACODYLATE ION
7JVB,RBD,D,nan,B|H,True,2020/08/20,3.287,Spike protein S1|CACODYLATE ION
7JVC,RBD,C,D,B|Q,False,2020/08/20,3.3,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
7JV6,RBD,F,G,E,False,2020/08/20,3.0,Spike glycoprotein
7JVC,RBD,F,G,E|V,False,2020/08/20,3.3,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
7JVC,RBD,H,L,A|K,False,2020/08/20,3.3,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
7JX3,RBD,H,L,R,False,2020/08/26,2.65,Spike protein S1
7JX3,RBD,C,D,R,False,2020/08/26,2.65,Spike protein S1
7JX3,RBD,A,B,E|R,False,2020/08/26,2.65,2-acetamido-2-deoxy-beta-D-glucopyranose|Spike protein S1
7CWN,RBD,L,J,C,False,2020/08/29,3.2,Spike glycoprotein
7CWN,RBD,K,I,B,False,2020/08/29,3.2,Spike glycoprotein
7CWN,RBD,O,M,A,False,2020/08/29,3.2,Spike glycoprotein
7CWN,RBD,H,N,C,False,2020/08/29,3.2,Spike glycoprotein
7CWN,RBD,G,F,A,False,2020/08/29,3.2,Spike glycoprotein
7CWN,RBD,E,D,B,False,2020/08/29,3.2,Spike glycoprotein
7CWU,RBD,P,I,C,False,2020/08/31,3.5,Spike glycoprotein
7CWU,RBD,J,F,A,False,2020/08/31,3.5,Spike glycoprotein
7CWS,RBD,N,K,O,False,2020/08/31,3.4,Spike glycoprotein
7CWU,RBD,N,G,B,False,2020/08/31,3.5,Spike glycoprotein
7CWU,RBD,M,R,C,False,2020/08/31,3.5,Spike glycoprotein
7CWU,RBD,H,L,B,False,2020/08/31,3.5,Spike glycoprotein
7CWS,RBD,P,M,R,False,2020/08/31,3.4,Spike glycoprotein
7CWS,RBD,L,C,Q,False,2020/08/31,3.4,Spike glycoprotein
7CWU,RBD,O,S,A,False,2020/08/31,3.5,Spike glycoprotein
7CWS,RBD,I,H,O,False,2020/08/31,3.4,Spike glycoprotein
7CWS,RBD,G,F,R,False,2020/08/31,3.4,Spike glycoprotein
7CWS,RBD,E,D,Q,False,2020/08/31,3.4,Spike glycoprotein
7CYV,RBD,H1,H2,B,False,2020/09/04,3.13,Spike protein S1
7CYP,RBD,I,H,C,False,2020/09/04,3.5,SARS-CoV-2 Spike glycoprotein
7CYP,RBD,E,D,A,False,2020/09/04,3.5,SARS-CoV-2 Spike glycoprotein
7CYP,RBD,G,F,B,False,2020/09/04,3.5,SARS-CoV-2 Spike glycoprotein
7CZZ,RBD,J,N,C,False,2020/09/09,3.2,Spike glycoprotein
7CZV,RBD,I,M,B,False,2020/09/09,3.3,Spike glycoprotein
7CZV,RBD,J,N,C,False,2020/09/09,3.3,Spike glycoprotein
7CZW,RBD,H,L,A,False,2020/09/09,2.8,Spike glycoprotein
7CZW,RBD,J,N,C,False,2020/09/09,2.8,Spike glycoprotein
7CZX,RBD,H,K,A,False,2020/09/09,2.8,Spike glycoprotein
7CZX,RBD,I,M,B|BG|C,False,2020/09/09,2.8,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose
7CZZ,RBD,I,M,B,False,2020/09/09,3.2,Spike glycoprotein
7CZX,RBD,J,N,A|C,False,2020/09/09,2.8,Spike glycoprotein
7CZY,RBD,J,N,C,False,2020/09/09,3.3,Spike glycoprotein
7CZY,RBD,H,K,A,False,2020/09/09,3.3,Spike glycoprotein
7CZZ,RBD,H,K,A,False,2020/09/09,3.2,Spike glycoprotein
7D03,RBD,H,L,A,False,2020/09/09,3.2,Spike glycoprotein
7D00,RBD,J,N,C,False,2020/09/09,3.0,Spike glycoprotein
7D00,RBD,H,K,A,False,2020/09/09,3.0,Spike glycoprotein
7CZV,RBD,H,K,A,False,2020/09/09,3.3,Spike glycoprotein
7CZU,RBD,J,N,C,False,2020/09/09,3.4,Spike glycoprotein
7D0C,RBD,H,L,A,False,2020/09/09,3.4,Spike glycoprotein
7CZT,RBD,I,M,C,False,2020/09/09,2.7,Spike glycoprotein
7CZU,RBD,H,K,A,False,2020/09/09,3.4,Spike glycoprotein
7CZP,RBD,H,L,A|c,False,2020/09/09,3.0,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
7CZP,RBD,J,N,C|d,False,2020/09/09,3.0,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
7CZQ,RBD,H,K,A,False,2020/09/09,2.8,Spike glycoprotein
7D0C,RBD,G,F,C,False,2020/09/09,3.4,Spike glycoprotein
7CZR,RBD,H,K,A,False,2020/09/09,3.5,Spike glycoprotein
7CZR,RBD,J,N,C,False,2020/09/09,3.5,Spike glycoprotein
7CZT,RBD,H,L,A,False,2020/09/09,2.7,Spike glycoprotein
7CZQ,RBD,J,N,C,False,2020/09/09,2.8,Spike glycoprotein
7K43,RBD,C,D,B|E|Z,False,2020/09/14,2.6,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K43,RBD,F,G,A|E|K,False,2020/09/14,2.6,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K43,RBD,H,L,A|B|S,False,2020/09/14,2.6,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K4N,RBD,H,L,A,False,2020/09/15,3.3,Spike glycoprotein
7K4N,RBD,F,G,E,False,2020/09/15,3.3,Spike glycoprotein
7K4N,RBD,C,D,B,False,2020/09/15,3.3,Spike glycoprotein
7D30,RBD,A1,nan,AD|AH|AI|AK|AO|AS|AU|AY|AZ|B|BA|BS,True,2020/09/17,2.1,"GLYCEROL|ACETATE ION|1,3-BUTANEDIOL|CADMIUM ION|Spike protein S1"
7D2Z,RBD,A,nan,B|F|G,True,2020/09/17,1.97,Spike protein S1|FORMIC ACID|GLYCEROL
7D30,RBD,A2,nan,AJ|AM|AN|AR|B,True,2020/09/17,2.1,"ACETATE ION|1,3-BUTANEDIOL|CADMIUM ION|Spike protein S1"
7K90,RBD,O,P,A|C,False,2020/09/27,3.24,Spike glycoprotein
7K90,RBD,M,N,A|B,False,2020/09/27,3.24,Spike glycoprotein
7K90,RBD,H,L,B|C,False,2020/09/27,3.24,Spike glycoprotein
7K8Z,RBD,M,N,C|H,False,2020/09/27,3.5,Spike glycoprotein|C135 Fab Heavy Chain
7K8T,RBD,O,P,A|AV|C,False,2020/09/27,3.4,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose
7K8Z,RBD,H,L,A|AR|C|K,False,2020/09/27,3.5,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose|alpha-D-mannopyranose-(1-3)-[alpha-D-mannopyranose-(1-6)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K8T,RBD,H,L,AL|B|C,False,2020/09/27,3.4,2-acetamido-2-deoxy-beta-D-glucopyranose|Spike glycoprotein
7K8S,RBD,O,P,B,False,2020/09/27,3.4,Spike glycoprotein
7K8S,RBD,M,N,B|C,False,2020/09/27,3.4,Spike glycoprotein
7K8S,RBD,H,L,A|C,False,2020/09/27,3.4,Spike glycoprotein
7K8M,RBD,A,B,E,False,2020/09/27,3.2,Spike glycoprotein
7K8T,RBD,M,N,B,False,2020/09/27,3.4,Spike glycoprotein
7K9K,RBD,H,L,A|B,False,2020/09/29,3.14,Spike protein S1|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K9Z,RBD,H,L,B|E,False,2020/09/29,2.95,298 Fab Heavy Chain|Spike protein S1
7K9Z,RBD,B,A,E|H,False,2020/09/29,2.95,Spike protein S1|52 Fab Heavy Chain
7K9J,RBD,J,N,C|p,False,2020/09/29,3.0,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K9J,RBD,I,M,B|b,False,2020/09/29,3.0,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K9J,RBD,H,L,A|K,False,2020/09/29,3.0,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7K9H,RBD,I,M,C,False,2020/09/29,3.2,Spike glycoprotein
7K9H,RBD,H,L,A|B,False,2020/09/29,3.2,Spike glycoprotein
7K9I,RBD,H,L,A,False,2020/09/29,3.3,Spike protein S1
7D6I,RBD,B,C,A,False,2020/09/30,3.41,Spike protein S1
7KFV,RBD,C,D,B,False,2020/10/15,2.102,Spike glycoprotein
7KFV,RBD,H,L,A,False,2020/10/15,2.102,Spike glycoprotein
7KFW,RBD,C,D,B,False,2020/10/15,2.792,Spike glycoprotein
7KFW,RBD,F,G,E,False,2020/10/15,2.792,Spike glycoprotein
7KFW,RBD,H,L,A,False,2020/10/15,2.792,Spike glycoprotein
7KFX,RBD,H,L,A,False,2020/10/15,2.226,Spike glycoprotein
7KFY,RBD,H,L,A,False,2020/10/15,2.157,Spike glycoprotein
7KFV,RBD,F,G,E,False,2020/10/15,2.102,Spike glycoprotein
7KGJ,RBD,B,nan,A,True,2020/10/16,2.3,Spike glycoprotein
7KGK,RBD,B,nan,A,True,2020/10/16,2.6,Spike protein S1
7KKK,RBD,D,nan,C|E,True,2020/10/27,3.03,Spike glycoprotein
7KKL,RBD,B,nan,A|C,True,2020/10/27,2.85,Spike glycoprotein
7KKL,RBD,E,nan,C|D,True,2020/10/27,2.85,Spike glycoprotein
7KKL,RBD,F,nan,A|D,True,2020/10/27,2.85,Spike glycoprotein
7KKK,RBD,B,nan,A|C,True,2020/10/27,3.03,Spike glycoprotein
7KKK,RBD,F,nan,A|E,True,2020/10/27,3.03,Spike glycoprotein
7KLG,RBD,H,L,A,False,2020/10/30,3.2,Spike glycoprotein
7KLG,RBD,I,M,B,False,2020/10/30,3.2,Spike glycoprotein
7KLH,RBD,H,L,A,False,2020/10/30,3.0,Spike glycoprotein
7KLH,RBD,I,M,B,False,2020/10/30,3.0,Spike glycoprotein
7KLW,RBD,C,nan,A,True,2020/11/01,2.6,Spike protein S1
7KLW,RBD,B,nan,A,True,2020/11/01,2.6,Spike protein S1
7KMG,RBD,A,B,C,False,2020/11/02,2.16,Spike protein S1
7KMG,RBD,D,E,F,False,2020/11/02,2.16,Spike protein S1
7KMH,RBD,A,B,C,False,2020/11/02,1.72,Spike protein S1
7KMI,RBD,A,B,C|D,False,2020/11/02,1.73,Spike protein S1|GLYCEROL
7KM5,RBD,D,nan,A,True,2020/11/02,3.19,Spike protein S1
7KM5,RBD,C,nan,B,True,2020/11/02,3.19,Spike protein S1
7DEO,RBD,A1,A2,B|F,False,2020/11/04,2.5,Spike protein S1|CALCIUM ION
7KN7,RBD,H,L,A|B,False,2020/11/04,2.73,Spike protein S1|VHH W
7KN4,RBD,H,L,A,False,2020/11/04,2.7,Spike protein S1
7DEO,RBD,C1,C2,D|H,False,2020/11/04,2.5,Spike protein S1|CALCIUM ION
7KN4,RBD,M,N,B,False,2020/11/04,2.7,Spike protein S1
7KN7,RBD,B,nan,A,True,2020/11/04,2.73,Spike protein S1
7KN6,RBD,H,L,A|C,False,2020/11/04,2.55,Spike protein S1|VHH V
7KN5,RBD,E,nan,A|M,True,2020/11/04,1.87,"Spike protein S1|1,2-ETHANEDIOL"
7KN5,RBD,F,nan,B,True,2020/11/04,1.87,Spike protein S1
7KN3,RBD,M,N,B,False,2020/11/04,2.251,Spike protein S1
7KN3,RBD,H,L,A|G|J,False,2020/11/04,2.251,"Spike protein S1|1,2-ETHANEDIOL|SULFATE ION"
7KN6,RBD,C,nan,A,True,2020/11/04,2.55,Spike protein S1
7KN5,RBD,C,nan,A|H|L,True,2020/11/04,1.87,"Spike protein S1|1,2-ETHANEDIOL"
7KN5,RBD,D,nan,B,True,2020/11/04,1.87,Spike protein S1
7DET,RBD,B1,B2,A,False,2020/11/05,2.2,Spike protein S1
7DEU,RBD,B1,B2,A,False,2020/11/05,2.1,Spike protein S1
7DET,RBD,D1,D2,C,False,2020/11/05,2.2,Spike protein S1
7KQB,RBD,K,J,A|C,False,2020/11/14,2.42,Spike glycoprotein
7KQB,RBD,H,L,A,False,2020/11/14,2.42,Spike glycoprotein
7KQE,RBD,H,L,A,False,2020/11/15,2.88,Spike glycoprotein
7KQE,RBD,J,M,C,False,2020/11/15,2.88,Spike glycoprotein
7KQE,RBD,I,N,B,False,2020/11/15,2.88,Spike glycoprotein
7DJZ,RBD,A,B,C,False,2020/11/22,2.397,Spike protein S1
7DK2,RBD,G,H,A|I,False,2020/11/22,3.0,MW07 heavy chain|Spike protein S1
7DK0,RBD,A,B,C,False,2020/11/22,3.199,Spike protein S1
7DK2,RBD,A,B,C|G,False,2020/11/22,3.0,Spike protein S1|MW07 heavy chain
7DK2,RBD,D,E,F,False,2020/11/22,3.0,Spike protein S1
7DK2,RBD,J,K,L,False,2020/11/22,3.0,Spike protein S1
7KSG,RBD,F,nan,C,True,2020/11/22,3.33,Spike glycoprotein
7KSG,RBD,D,nan,A,True,2020/11/22,3.33,Spike glycoprotein
7KSG,RBD,E,nan,B,True,2020/11/22,3.33,Spike glycoprotein
7B18,RBD,F,nan,B,True,2020/11/24,2.62,Spike glycoprotein
7B18,RBD,H,nan,C,True,2020/11/24,2.62,Spike glycoprotein
7B18,RBD,G,nan,B,True,2020/11/24,2.62,Spike glycoprotein
7B18,RBD,E,nan,A,True,2020/11/24,2.62,Spike glycoprotein
7B18,RBD,I,nan,C,True,2020/11/24,2.62,Spike glycoprotein
7B18,RBD,D,nan,A,True,2020/11/24,2.62,Spike glycoprotein
7B3O,RBD,H,L,E,False,2020/12/01,2.0,Spike protein S1
7KZB,RBD,H,L,C,False,2020/12/10,2.83,Spike glycoprotein
7L02,RBD,M,K,A|E|F|H,False,2020/12/10,3.2,Spike glycoprotein|alpha-D-mannopyranose-(1-3)-[alpha-D-mannopyranose-(1-6)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose|alpha-D-mannopyranose-(1-2)-alpha-D-mannopyranose-(1-6)-[beta-D-mannopyranose-(1-3)]alpha-D-mannopyranose-(1-6)-[beta-D-mannopyranose-(1-3)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose|2G12 heavy chain
7KZB,RBD,A,B,C,False,2020/12/10,2.83,Spike glycoprotein
7L0N,RBD,H,L,AB|AD|R|Z,False,2020/12/11,2.78,SODIUM ION|Spike protein S1|CHLORIDE ION
7L0N,RBD,C,D,I|P|S,False,2020/12/11,2.78,alpha-D-mannopyranose-(1-6)-beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose|CHLORIDE ION|Spike protein S1
7L0N,RBD,M,N,AF|AI|AJ|BJ|S,False,2020/12/11,2.78,CHLORIDE ION|Spike protein S1
7L0N,RBD,A,B,G|R,False,2020/12/11,2.78,alpha-D-mannopyranose-(1-6)-alpha-D-mannopyranose-(1-6)-beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose|Spike protein S1
7L06,RBD,G,E,B|D|W|X,False,2020/12/11,3.3,Spike glycoprotein|2G12 heavy chain|alpha-D-mannopyranose-(1-3)-[alpha-D-mannopyranose-(1-6)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose|alpha-D-mannopyranose-(1-2)-alpha-D-mannopyranose-(1-6)-[beta-D-mannopyranose-(1-3)]alpha-D-mannopyranose-(1-6)-[beta-D-mannopyranose-(1-3)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
7L06,RBD,M,K,A|H|J|N,False,2020/12/11,3.3,Spike glycoprotein|2G12 heavy chain|alpha-D-mannopyranose-(1-3)-[alpha-D-mannopyranose-(1-6)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose|alpha-D-mannopyranose-(1-2)-alpha-D-mannopyranose-(1-6)-[beta-D-mannopyranose-(1-3)]alpha-D-mannopyranose-(1-6)-[beta-D-mannopyranose-(1-3)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
