model,target,family,ab,n_rung,full,best,best_rung,best_neff,amp,spearman,shape
boltz,8txt_GI,HA,B,11,0.196,0.282,3,22.7,0.164,0.645,mid-peak(sweet-spot)
boltz,8txt_HL,HA,B,11,0.139,0.23,2,30.0,0.127,0.245,flat
boltz,8txu_HL,HA,B,11,0.055,0.534,1,38.1,0.487,0.444,deep-better
boltz,8u44_ST,HA,B,11,0.325,0.362,8,5.0,0.136,0.3,flat
boltz,8ulr_HL,Env,A,11,0.745,0.804,2,701.8,0.071,0.355,flat
boltz,8ume_HL,HA,A,11,0.018,0.037,9,4.0,0.025,0.361,flat
boltz,8vye_AD,RBD,B,10,0.911,0.934,3,11.4,0.023,-0.237,flat
boltz,8wpy_AB,RBD,B,10,0.854,0.859,2,19.4,0.818,0.446,deep-better
boltz,8xsj_HL,RBD,B,11,0.044,0.08,6,7.0,0.041,0.205,flat
boltz,8y6a_CD,RBD,B,11,0.042,0.804,9,2.0,0.776,-0.71,shallow-better
boltz,9azr_HL,HA,A,11,0.154,0.272,1,91.9,0.164,0.676,deep-better
boltz,9azt_HL,HA,A,11,0.426,0.576,8,5.0,0.313,0.3,shallow-better
boltz,9azv_HL,HA,A,11,0.346,0.403,4,29.7,0.233,0.073,spiky
boltz,9b7g_QP,HA,A,11,0.115,0.631,10,1.0,0.579,-0.278,shallow-better
boltz,9bdg_FI,HA,A,11,0.066,0.066,0,184.0,0.048,-0.096,flat
boltz,9bnp_HL,Env,A,11,0.079,0.119,4,143.4,0.106,0.091,flat
boltz,9evz_HL,Env,B,11,0.004,0.004,0,184.8,0.001,0.298,flat
boltz,9j4c_HL,C,C,11,0.003,0.023,10,1.0,0.02,-0.86,flat
boltz,9kkj_HL,C,C,11,0.673,0.69,3,338.7,0.054,0.245,flat
boltz,9ly5_AB,C,C,11,0.045,0.097,4,177.2,0.052,-0.082,flat
boltz,9mqr_DE,C,C,11,0.042,0.055,7,7.0,0.035,0.173,flat
boltz,9vxl_BC,C,C,11,0.004,0.006,2,228.4,0.002,-0.221,flat
boltz,9w43_AB,C,C,11,0.068,0.162,2,1057.0,0.095,0.005,flat
boltz,9xf9_HL,C,C,10,0.018,0.068,5,10.0,0.053,-0.14,flat
boltz,9y0a_AB,C,C,11,0.061,0.724,6,28.0,0.669,0.087,mid-peak(sweet-spot)
boltz,9yc6_HL,C,C,11,0.071,0.071,0,271.1,0.049,0.346,flat
protenix,8k3k_D,RBD,B,12,0.014,0.049,2,14.3,0.038,-0.477,flat
protenix,8k46_I,RBD,B,12,0.029,0.087,4,13.0,0.072,-0.028,flat
protenix,8k5g_HL,RBD,A,12,0.03,0.341,2,16.2,0.329,0.232,deep-better
protenix,8k5h_HL,RBD,A,12,0.049,0.117,10,1.0,0.106,-0.167,flat
protenix,8kdm_GF,RBD,A,12,0.02,0.022,10,1.0,0.012,0.121,flat
protenix,8kep_HL,RBD,A,12,0.099,0.099,0,28.7,0.088,0.25,flat
protenix,8q5y_GH,RBD,A,12,0.011,0.052,11,1.0,0.041,-0.063,flat
protenix,8q7s_C,RBD,A,12,0.09,0.253,3,14.7,0.242,0.784,spiky
protenix,8q7s_H,RBD,B,12,0.047,0.063,2,22.4,0.052,0.393,flat
protenix,8q7s_O,RBD,A,12,0.111,0.116,1,27.5,0.102,0.863,flat
protenix,8t49_PR,Env,A,12,0.011,0.078,9,3.0,0.067,-0.591,flat
protenix,8t4a_PR,Env,A,12,0.015,0.059,2,640.6,0.044,-0.302,flat
protenix,8t4b_OQ,Env,A,12,0.031,0.052,9,3.0,0.038,0.09,flat
protenix,8t4d_OQ,Env,A,12,0.007,0.072,3,319.1,0.065,-0.102,flat
protenix,8tjr_HL,Env,B,12,0.031,0.033,5,25.6,0.022,0.532,flat
protenix,8tkc_GH,Env,B,12,0.051,0.051,0,209.1,0.041,0.909,flat
protenix,8tl5_IJ,Env,B,12,0.008,0.047,10,1.0,0.042,-0.637,flat
protenix,8tp5_HL,HA,A,12,0.006,0.052,2,73.2,0.046,-0.145,flat
protenix,8tq1_CD,Env,B,12,0.012,0.026,8,6.3,0.015,-0.728,flat
protenix,8tx3_FK,HA,B,12,0.004,0.063,11,1.0,0.059,-0.505,flat
protenix,8txu_HL,HA,B,12,0.03,0.097,2,28.1,0.093,-0.032,flat
protenix,8u44_ST,HA,B,12,0.077,0.082,5,10.1,0.079,0.312,flat
protenix,8ulr_HL,Env,A,12,0.013,0.662,2,701.8,0.652,0.028,deep-better
protenix,8ume_HL,HA,A,12,0.199,0.321,1,121.4,0.303,0.783,spiky
protenix,8vfv_GI,Env,B,12,0.011,0.043,9,3.0,0.032,-0.32,flat
protenix,8vye_AD,RBD,B,12,0.016,0.17,11,1.0,0.157,-0.662,shallow-better
protenix,8wpy_AB,RBD,B,12,0.023,0.023,0,35.9,0.014,0.555,flat
protenix,8xsj_HL,RBD,B,12,0.019,0.034,6,7.0,0.019,-0.456,flat
protenix,8y6a_CD,RBD,B,12,0.024,0.029,9,2.0,0.02,-0.137,flat
protenix,9azr_HL,HA,A,12,0.076,0.492,4,28.3,0.477,0.406,mid-peak(sweet-spot)
protenix,9azt_HL,HA,A,12,0.078,0.078,0,119.6,0.069,-0.256,flat
protenix,9azv_HL,HA,A,12,0.05,0.074,2,68.9,0.067,0.159,flat
protenix,9b7g_QP,HA,A,12,0.282,0.282,0,175.8,0.275,0.809,deep-better
protenix,9bdg_FI,HA,A,12,0.078,0.081,7,10.0,0.066,0.427,flat
protenix,9bnp_HL,Env,A,12,0.006,0.021,11,1.0,0.018,-0.58,flat
protenix,9j4c_HL,C,C,12,0.006,0.02,11,1.0,0.015,-0.468,flat
protenix,9kkj_HL,C,C,12,0.009,0.047,11,1.0,0.04,-0.203,flat
protenix,9ly5_AB,C,C,12,0.008,0.08,10,2.0,0.072,-0.448,flat
protenix,9mqr_DE,C,C,12,0.062,0.095,1,391.2,0.087,0.277,flat
protenix,9vxl_BC,C,C,12,0.014,0.014,0,607.0,0.007,-0.035,flat
protenix,9w43_AB,C,C,12,0.058,0.083,6,48.0,0.075,0.196,flat
protenix,9xf9_HL,C,C,12,0.014,0.025,5,10.0,0.015,-0.059,flat
protenix,9y0a_AB,C,C,12,0.06,0.109,3,221.4,0.089,0.552,flat
protenix,9yc6_HL,C,C,12,0.076,0.076,0,271.1,0.056,0.216,flat
